datetime	reltime	speed	adxlx	adxly	adxlz	gyrox	gyroy	gyroz	mpu_accelx	mpu_accely	mpu_accelz	distance	atan	asin	angle	angle_rad	error	integral	derivative	Kp	Ki	Kd	dt	diff_speed
2014-02-01_23:24:49_814893	303632.609375	18.0	24.0	-89.0	-212.0	-4.358778625954199	4.099236641221374	5.022900763358779	-0.2156982421875	-0.060546875	1.0140380859375	0.0	0.0	0.0	0	0	0	0	0	0.15	0.01	0.09000000000000001	0	0
2014-02-01_23:24:49_884508	310573.90625	23.33	26.0	156.0	-242.0	-9.145038167938932	9.725190839694656	-3.877862595419847	-0.3201904296875	-0.047119140625	1.0369873046875	0.0	0.0	-19.31	-4.130067007238189	-0.14410561783803869	4.130067007238189	0.2896128823454545	58.89742661354073	0.15	0.01	0.08000000000000002	0.070123046875	5.3342003089924415
2014-02-01_23:24:49_953721	317496.890625	22.84	61.0	-80.0	-259.0	-2.969465648854962	1.717557251908397	-5.7251908396946565	-0.2447509765625	-0.08984375	1.168212890625	0.0	0.0	9.34	-3.1655801154419714	-0.11045290005031302	3.1655801154419714	0.5080093149827593	-13.979901088150934	0.15	0.01	0.07000000000000002	0.068990966796875	-0.4986759657044424
2014-02-01_23:24:50_022646	324389.0	22.56	58.0	-75.0	-269.0	-4.511450381679389	1.9923664122137406	-2.877862595419847	-0.11083984375	-0.044921875	0.4417724609375	0.0	0.0	8.73	-2.419093331672426	-0.08440660612953337	2.419093331672426	0.6749539224202213	-10.816888478862479	0.15	0.01	0.06000000000000002	0.06901123046875	-0.27939976975668274
2014-02-01_23:24:50_091622	331263.296875	23.74	56.0	137.0	-164.0	-4.106870229007634	-2.2290076335877864	4.885496183206107	-0.706787109375	-0.2779541015625	1.244384765625	0.0	0.0	-16.62	-3.3441190705101493	-0.11668245186706731	3.3441190705101493	0.90540422157024	13.423268380945903	0.15	0.01	0.05000000000000002	0.068912109375	1.1818353218395201
2014-02-01_23:24:50_161175	338218.90625	23.27	43.0	74.0	-143.0	-4.0534351145038165	-8.374045801526718	4.679389312977099	-0.3837890625	0.051025390625	0.267822265625	0.0	0.0	-8.61	-1.9957374499133131	-0.06963494242544707	1.9957374499133131	1.044012475183897	-19.414541535892802	0.15	0.01	0.040000000000000015	0.0694521484375	-0.4667809191968765
2014-02-01_23:24:50_230288	345129.796875	20.95	81.0	147.0	-248.0	-0.183206106870229	-27.412213740458014	-0.5801526717557252	-0.390380859375	-0.071533203125	0.6981201171875	0.0	0.0	-18.02	2.4818964330550215	0.08659792159996586	-2.4818964330550215	0.8732924175129043	-65.09500825077126	0.15	0.01	0.030000000000000013	0.0687861328125	-2.316401788306263
2014-02-01_23:24:50_297504	351858.609375	16.4	17.0	79.0	-125.0	0.3282442748091603	-37.76335877862596	2.213740458015267	-0.0435791015625	0.1385498046875	0.298583984375	0.0	0.0	-9.21	9.488924310362178	0.33108598431131114	-9.488924310362178	0.23606574408661463	-104.34145327103354	0.15	0.01	0.030000000000000013	0.06715478515625	-4.551221587244468
2014-02-01_23:24:50_364509	358552.59375	10.0	-89.0	-27.0	-71.0	-5.931297709923665	-50.458015267175576	10.389312977099237	-0.236328125	-0.06884765625	1.4495849609375	0.0	0.0	3.1	19.7750898880151	0.689989179623695	-19.7750898880151	-1.0918730618577195	-153.1771253242674	0.15	0.01	0.030000000000000013	0.067152099609375	-7.572495973548866
2014-02-01_23:24:50_431248	365228.796875	10.0	87.0	-31.0	-368.0	0.8473282442748091	-55.778625954198475	12.267175572519085	-0.173583984375	0.179443359375	1.89990234375	0.0	0.0	3.56	30.17301796913385	1.052791973800902	-30.17301796913385	-3.1083603093803585	-155.585844254061	0.15	0.01	0.030000000000000013	0.066830810546875	-9.224611626085713
