datetime	reltime	speed	x	y	z	d	error	integral	derivative	dt	diff_speed
2014-02-01_19:18:16_520487	301413.296875	18.0	0.0	0	0	0	0	0
2014-02-01_19:18:16_547633	304109.6875	18.0	0.0	0	0.0	0.0	27.10205078125	0.0
2014-02-01_19:18:16_574572	306802.1875	25.0	0.0	104.22380740100192	2801.014823901927	3.878095159107048	26.875	19.42890832451436
2014-02-01_19:18:16_601526	309498.0	25.0	0.0	205.69112248106515	8330.620920034136	3.774396506933232	26.883056640625	18.975857856114608
2014-02-01_19:18:16_629038	312250.390625	25.0	0.0	305.7633994842707	16720.750686058334	3.6469566578743513	27.43994140625	18.432567136180765
2014-02-01_19:18:16_656003	314953.671875	25.0	0.0	405.581766599398	27630.068448099857	3.7110028836527813	26.89794921875	18.871873279404845
2014-02-01_19:18:16_683020	317647.28125	25.0	0.0	499.50055081655125	41089.632728903955	3.4854385676804567	26.946044921875	17.888039220772978
2014-02-01_19:18:16_709957	320340.984375	25.0	0.0	592.5297511328181	57009.819294252804	3.4624323455768997	26.8681640625	17.941512895940306
2014-02-01_19:18:16_736915	323036.59375	25.0	0.0	683.4006119151175	75383.71880283492	3.379859666418145	26.885986328125	17.721475581310585
2014-02-01_19:18:16_763887	325734.390625	25.0	0.0	774.5334962506462	96218.02692866499	3.387944111294581	26.899169921875	17.97935417538462
2014-02-01_19:18:16_790791	328424.1875	25.0	0.0	862.8890155886639	119373.61995538461	3.2925525602143524	26.8349609375	17.742787902184475
2014-02-01_19:18:16_817731	331117.390625	25.0	0.0	898.2389769761095	143510.94160548947	1.3155027559847816	26.871826171875	8.102447093676414
2014-02-01_19:18:16_844660	333811.1875	25.0	0.0	984.4168825175451	169951.28313705325	3.2085434680833376	26.85888671875	17.840671860038974
2014-02-01_19:18:16_871545	336500.09375	25.0	0.0	1066.8118070891346	198554.91426252935	3.073032161252476	26.812255859375	17.457391129596587
2014-02-01_19:18:16_898548	339200.171875	25.0	0.0	1148.7856418040433	229494.15725324498	3.0437190836364003	26.93212890625	17.628415554894858
2014-02-01_19:18:16_925513	341896.78125	25.0	0.0	1228.977388134977	262547.5281105998	2.9816578581680115	26.89501953125	17.656662310759554
2014-02-01_19:18:16_952459	344598.28125	25.0	0.0	1309.4351437552093	297739.87634427863	2.993668171764031	26.8759765625	18.076683136638465
2014-02-01_19:18:16_979501	347295.59375	25.0	0.0	1385.193563505791	335105.6079926563	2.808457664027355	26.97509765625	17.53186375641392
2014-02-01_19:18:17_006490	349994.796875	25.0	0.0	1462.0325173154401	374462.33831289987	2.854430440539475	26.919189453125	18.162978837557915
2014-02-01_19:18:17_033477	352693.09375	25.0	0.0	1536.9166147774567	415830.009930572	2.7821390247843043	26.916015625	18.222686884704988
2014-02-01_19:18:17_060426	355388.1875	25.0	0.0	1609.6868248878295	459095.0592288022	2.7074336065480407	26.8779296875	18.289087307517008
2014-02-01_19:18:17_087329	358078.28125	25.0	0.0	1681.0561105900965	504209.82801703864	2.6593458652398057	26.837158203125	18.506933217428426
2014-02-01_19:18:17_114312	360776.671875	25.0	0.0	1749.4355925983864	551292.1113544613	2.5407752375012955	26.912841796875	18.39174086031093
2014-02-01_19:18:17_141097	363455.484375	25.0	0.0	1819.5537954052927	599905.2047364407	2.6244748722696833	26.717041015625	19.303381788253354
2014-02-01_19:18:17_168010	366153.78125	25.0	0.0	1885.5063012824326	650535.3760155302	2.4561217605059222	26.852294921875	18.974513192813156
2014-02-01_19:18:17_195039	368849.578125	25.0	0.0	1950.8587976625568	703131.8818467493	2.4239916796279006	26.960693359375	19.346363096373253
2014-02-01_19:18:17_222004	371545.0	25.0	0.0	2015.7235100531748	757348.7419792098	2.41159900110712	26.89697265625	19.833054776333018
2014-02-01_19:18:17_248932	374241.890625	25.0	0.0	2079.4479320314113	813204.4598449226	2.3723912710444877	26.86083984375	20.201945746874806
2014-02-01_19:18:17_275939	376939.890625	25.0	0.0	2141.1552835872885	870889.1486984034	2.290469523995227	26.94091796875	20.3753546353189
2014-02-01_19:18:17_302859	379631.890625	25.0	0.0	2202.9440442681193	929912.5596344777	2.306155814884486	26.79296875	21.05019907519402
2014-02-01_19:18:17_329793	382324.875	25.0	0.0	2261.3191835402	990673.9190146659	2.172512656470093	26.869873046875	20.995434390851145
2014-02-01_19:18:17_356709	385016.796875	25.0	0.0	2318.619779868501	1052926.8222547192	2.1341702817095127	26.84912109375	21.431981609081607
2014-02-01_19:18:17_383618	387707.296875	25.0	0.0	2375.498638520296	1116683.094673775	2.1192526815219432	26.839111328125	22.000644218199497
2014-02-01_19:18:17_410558	390401.59375	25.0	0.0	2430.7998145526694	1182006.0920339902	2.0578677322897874	26.873046875	22.35247956324411
2014-02-01_19:18:17_437514	393096.578125	25.0	0.0	2486.7332963970525	1248880.1543707654	2.07990432800967	26.892333984375	23.13699651339571
2014-02-01_19:18:17_464502	395796.203125	25.0	0.0	2541.0196283519836	1317273.6580247988	2.01689674718947	26.915771484375	23.511322279030537
2014-02-01_19:18:17_491480	398494.59375	25.0	0.0	2594.109389984908	1387075.213764007	1.97303122696262	26.90771484375	23.995319211451662
2014-02-01_19:18:17_518460	401191.796875	25.0	0.0	2646.1063370887464	1458284.9328374001	1.9321723639848527	26.9111328125	24.508321782007144
2014-02-01_19:18:17_545406	403887.390625	25.0	0.0	2696.472542736046	1530766.4571117607	1.873733920049215	26.880126953125	24.945981425637285
2014-02-01_19:18:17_572317	406577.390625	25.0	0.0	2745.3102421824933	1604461.5491671055	1.819315679723598	26.843994140625	25.415724914507294
