datetime	reltime	speed	adxlx	adxly	adxlz	gyrox	gyroy	gyroz	mpu_accelx	mpu_accely	mpu_accelz	distance	atan	asin	angle	angle_rad	error	integral	derivative	Kp	Ki	Kd	dt	diff_speed
2014-02-02_00:01:37_634682	303320.5	18.0	100.0	95.0	-194.0	-4.847328244274809	6.778625954198473	-3.4580152671755724	-0.4044189453125	0.009521484375	1.2657470703125	0.0	0.0	0.0	0	0	0	0	0	0.001	1e-05	0.002	0	0
2014-02-02_00:01:37_702172	310026.609375	18.08	68.0	124.0	-315.0	-4.129770992366412	14.206106870229007	-8.50381679389313	-0.513671875	0.2344970703125	0.5147705078125	0.0	0.0	-14.87	-2.7628374968162004	-0.09640047092868809	2.7628374968162004	0.19232950919303887	39.6885068018979	0.001	1e-05	0.002	0.069613037109375	0.08214177439570393
2014-02-02_00:01:37_769399	316774.796875	18.15	10.0	132.0	-245.0	-3.114503816793893	7.984732824427481	2.9770992366412212	-0.4703369140625	0.1505126953125	0.6708984375	0.0	0.0	-15.94	-4.769700278486084	-0.1664235965975605	4.769700278486084	0.5114324723311785	29.997007468935426	0.001	1e-05	0.002	0.066902099609375	0.06476882954108025
2014-02-02_00:01:37_836363	323446.390625	18.22	79.0	137.0	-224.0	-3.763358778625954	12.801526717557252	-2.5877862595419847	-0.4840087890625	-0.2154541015625	0.5745849609375	0.0	0.0	-16.62	-7.0607642620625795	-0.24636302379841518	7.0607642620625795	0.9843571532403783	34.2055793456073	0.001	1e-05	0.002	0.066979248046875	0.07548176652480958
2014-02-02_00:01:37_903306	330163.0	18.28	-17.0	87.0	-184.0	-3.122137404580153	16.702290076335878	-5.175572519083969	-0.416015625	0.23046875	1.0906982421875	0.0	0.0	-10.19	-8.812537497663273	-0.3074856070364017	8.812537497663273	1.573129754314118	26.219914612162093	0.001	1e-05	0.002	0.066810791015625	0.0612680980195306
2014-02-02_00:01:37_970062	336816.703125	18.37	32.0	150.0	-198.0	-6.419847328244275	16.52671755725191	-0.5190839694656488	-0.4581298828125	-0.169189453125	0.81884765625	0.0	0.0	-18.44	-11.201459978730128	-0.3908394968154266	11.201459978730128	2.3224871898785064	35.70982056620929	0.001	1e-05	0.002	0.066898193359375	0.0826443259830475
2014-02-02_00:01:38_037319	343564.484375	18.42	70.0	138.0	-245.0	-1.6259541984732824	10.687022900763358	-5.244274809160306	-0.44384765625	0.1993408203125	1.1031494140625	0.0	0.0	-16.76	-12.674982705510162	-0.4422534091245695	12.674982705510162	3.166450418208389	22.12996307324047	0.001	1e-05	0.002	0.0665849609375	0.05696657335617319
2014-02-02_00:01:38_104339	350243.59375	18.45	51.0	99.0	-262.0	-3.312977099236641	8.251908396946565	-3.0763358778625953	-0.507568359375	-0.16259765625	0.5394287109375	0.0	0.0	-11.67	-13.289122972472525	-0.4636818901769897	13.289122972472525	4.058920793732014	9.14471309506664	0.001	1e-05	0.002	0.067157958984375	0.03161913837054313
2014-02-02_00:01:38_171215	356931.1875	18.49	71.0	138.0	-277.0	-5.893129770992366	4.938931297709924	2.0839694656488548	-0.5560302734375	0.2816162109375	0.80517578125	0.0	0.0	-16.76	-14.061844188078313	-0.49064355157286504	14.061844188078313	4.99871613621201	11.561969764605799	0.001	1e-05	0.002	0.0668330078125	0.03723577087865203
2014-02-02_00:01:38_237857	363595.203125	18.5	31.0	110.0	-349.0	-7.2748091603053435	-0.061068702290076333	-3.954198473282443	-0.4344482421875	0.0736083984375	0.466064453125	0.0	0.0	-13.06	-13.956150816557955	-0.4869557158603613	13.956150816557955	5.92984625897747	-1.5841745392874165	0.001	1e-05	0.002	0.06671826171875	0.010847100200572897
2014-02-02_00:01:38_304726	370306.5	18.51	99.0	134.0	-207.0	1.6641221374045803	-6.465648854961832	3.381679389312977	-0.392578125	0.2467041015625	0.7655029296875	0.0	0.0	-16.21	-13.626371809174385	-0.4754491210458613	13.626371809174385	6.837487041953265	-4.950957971209653	0.001	1e-05	0.002	0.066609130859375	0.003792830737174612
2014-02-02_00:01:38_371600	376969.703125	18.48	22.0	100.0	-157.0	-2.366412213740458	-14.816793893129772	0.7709923664122137	-0.44775390625	0.193359375	1.400146484375	0.0	0.0	-11.79	-12.167065021512007	-0.42453122894319634	12.167065021512007	7.64998023674795	-21.853082198809968	0.001	1e-05	0.002	0.066778076171875	-0.03146259957374045
2014-02-02_00:01:38_438158	383626.109375	18.44	40.0	103.0	-274.0	-3.6259541984732824	-17.03053435114504	3.1526717557251906	-0.4158935546875	0.0869140625	0.6251220703125	0.0	0.0	-12.17	-10.703192770013823	-0.3734540394282562	10.703192770013823	8.36348809618101	-21.95926322508739	0.001	1e-05	0.002	0.0666630859375	-0.033131698799199145
