datetime	reltime	adxlx	adxly	adxlz	gyrox	gyroy	gyroz	mpu_accelx	mpu_accely	mpu_accelz	distance	atan	angle	error	integral	derivative	Kp	Ki	Kd	target_angleRate2	error2	integral2	derivative2	Kp2	Ki2	Kd2	pitch_offset_force	dt	Motor0	Motor1
2014-04-20_16:51:35_247585	2387298.0	-209.0	48.0	-146.0	2.487977099236641	0.5513358778625954	2.4017175572519087	-0.8258593750000001	0.78296875	-0.26171875	0.0	55.07	36.084115523175356	-36.084115523175356	-33823.793252547024	0.5513358778625954	0.5	0	0.0	-18.042057761587678	-18.593393639450273	16576.61675636008	-1.172297485007359	0.0005	0	0.0	-0.009296696819725137	49.968017578125	242	241
2014-04-20_16:51:35_297264	2436985.0	-180.0	-50.0	-201.0	-2.4662213740458014	0.5666030534351147	-3.2242366412213737	-0.8273242187500001	-0.00658203125	-0.642333984375	0.0	41.85	36.171641638151755	-36.171641638151755	-35631.90729319318	0.5666030534351147	0.5	0	0.0	-18.085820819075877	-18.652423872510994	15644.236914898896	-0.05903023306072086	0.0005	0	0.0	-0.009326211936255498	49.987060546875	242	241
2014-04-20_16:51:35_347565	2487289.0	-182.0	-4.0	-198.0	1.3811068702290075	-0.7616412213740456	1.7223282442748094	-0.5646289062500001	0.3601171875	-0.75634765625	0.0	42.59	36.337365542245514	-36.337365542245514	-37448.491684637156	-0.7616412213740456	0.5	0	0.0	-18.168682771122757	-17.407041549748712	14774.020829923567	1.245382322762282	0.0005	0	0.0	-0.008703520774874357	49.9921875	242	241
2014-04-20_16:51:35_397743	2537495.0	-204.0	-12.0	-177.0	-2.382251908396947	-0.9982824427480914	-1.5448473282442747	-0.7423632812500001	-0.4230859375	-0.96630859375	0.0	49.06	36.640778216174986	-36.640778216174986	-39284.30559749845	-0.9982824427480914	0.5	0	0.0	-18.320389108087493	-17.3221066653394	13906.130846018714	0.08493488440931074	0.0005	0	0.0	-0.008661053332669701	50.10302734375	242	241
2014-04-20_16:51:35_448065	2587828.0	-207.0	-42.0	-198.0	5.930725190839694	0.10858778625954235	1.0353053435114505	-0.5531542968750001	0.39478515625	-0.54345703125	0.0	46.28	36.82817794793696	-36.82817794793696	-41123.178961159625	0.10858778625954235	0.5	0	0.0	-18.41408897396848	-18.52267676022802	12981.272250889731	-1.2005700948886187	0.0005	0	0.0	-0.00926133838011401	49.93115234375	242	241
2014-04-20_16:51:35_498194	2637917.0	-236.0	36.0	-175.0	3.1826335877862593	1.64293893129771	-0.23187022900763343	-0.8524707031250001	-0.259267578125	-0.7607421875	0.0	53.45	37.08004459157387	-37.08004459157387	-42976.88245014469	1.64293893129771	0.5	0	0.0	-18.540022295786937	-20.182961227084647	11972.286796400855	-1.660284466856627	0.0005	0	0.0	-0.010091480613542323	49.991943359375	242	241
2014-04-20_16:51:35_548499	2688214.0	-200.0	-30.0	-219.0	2.8772900763358775	1.5818702290076336	-1.5372137404580153	-0.7726367187500001	0.503671875	-0.385986328125	0.0	42.41	37.10865215494487	-37.10865215494487	-44842.253581186356	1.5818702290076336	0.5	0	0.0	-18.554326077472435	-20.13619630648007	10960.08405936098	0.04676492060457704	0.0005	0	0.0	-0.010068098153240035	50.267822265625	242	241
2014-04-20_16:51:35_598365	2738084.0	-158.0	-38.0	-213.0	-1.1456106870229013	0.3833969465648859	-1.842557251908397	-0.7484667968750001	-0.367666015625	-0.799560546875	0.0	36.57	37.07916924127039	-37.07916924127039	-46688.90665028657	0.3833969465648859	0.5	0	0.0	-18.539584620635196	-18.922981567200083	10017.663214918146	1.2132147392799872	0.0005	0	0.0	-0.009461490783600042	49.802978515625	242	241
2014-04-20_16:51:35_648680	2788399.0	-183.0	-53.0	-188.0	1.2360687022900763	0.3910305343511453	2.2337786259541987	-0.5739062500000001	-0.131337890625	-0.71630859375	0.0	44.23	37.2030701131565	-37.2030701131565	-48546.89845411653	0.3910305343511453	0.5	0	0.0	-18.60153505657825	-18.992565590929395	9069.138507298103	-0.0695840237293126	0.0005	0	0.0	-0.009496282795464698	49.94189453125	242	241
2014-04-20_16:51:35_699036	2838750.0	-149.0	-87.0	-223.0	-1.4738549618320613	-2.2730916030534347	1.04293893129771	-0.6698535156250001	-0.82787109375	-1.24462890625	0.0	33.75	37.245626429881526	-37.245626429881526	-50412.526062360164	-2.2730916030534347	0.5	0	0.0	-18.622813214940763	-16.34972161188733	8250.183506402669	2.642843979042066	0.0005	0	0.0	-0.008174860805943665	50.08984375	242	241
2014-04-20_16:51:35_749229	2888944.0	-146.0	-14.0	-190.0	1.6864503816793892	-0.5097328244274808	3.6841603053435112	-0.6759570312500001	-0.34154296875	-0.631103515625	0.0	37.54	37.276564305026774	-37.276564305026774	-52278.556652748666	-0.5097328244274808	0.5	0	0.0	-18.638282152513387	-18.128549328085906	7342.684968480455	-1.7788277161985775	0.0005	0	0.0	-0.009064274664042953	50.05908203125	242	241
2014-04-20_16:51:35_800071	2939788.0	-130.0	0.0	-218.0	-0.33645038167938957	0.6047709923664124	-1.7967557251908395	-0.7262500000000001	-0.752919921875	-0.798828125	0.0	30.81	37.11708529622458	-37.11708529622458	-54168.0663996864	0.6047709923664124	0.5	0	0.0	-18.55854264811229	-19.1633136404787	6367.143176383097	-1.0347643123927952	0.0005	0	0.0	-0.009581656820239351	50.90673828125	242	241
2014-04-20_16:51:35_849951	2989698.0	-153.0	44.0	-169.0	0.487977099236641	-0.1967557251908394	1.7223282442748094	-0.8478320312500001	-0.111806640625	-0.5234375	0.0	42.16	37.227442750730496	-37.227442750730496	-56008.034575387486	-0.1967557251908394	0.5	0	0.0	-18.613721375365248	-18.416965650174408	5456.883749857326	0.7463479903042938	0.0005	0	0.0	-0.009208482825087204	49.425048828125	242	241
2014-04-20_16:51:35_899982	3039704.0	-195.0	78.0	-177.0	-1.7562977099236647	1.757442748091603	-3.5906488549618323	-0.8014453125000001	-0.26830078125	-0.826904296875	0.0	47.77	37.35221731149001	-37.35221731149001	-57876.438810812106	1.757442748091603	0.5	0	0.0	-18.676108655745004	-20.433551403836606	4434.772166244565	-2.0165857536621985	0.0005	0	0.0	-0.010216775701918304	50.021240234375	242	241
2014-04-20_16:51:35_950295	3090011.0	-131.0	-28.0	-203.0	-2.6646946564885496	0.6276717557251912	2.0353053435114505	-0.7716601562500001	-0.119619140625	-0.741455078125	0.0	32.84	37.23112848277671	-37.23112848277671	-59740.19492564743	0.6276717557251912	0.5	0	0.0	-18.615564241388356	-19.243235997113548	3471.4734369183548	1.1903154067230588	0.0005	0	0.0	-0.009621617998556774	50.05908203125	242	241
2014-04-20_16:51:36_000339	3140054.0	-166.0	-40.0	-158.0	-5.069274809160305	1.5055343511450383	-0.49141221374045785	-0.5800097656250001	-0.058583984375	-0.935302734375	0.0	46.42	37.341107782652756	-37.341107782652756	-61606.84007311742	1.5055343511450383	0.5	0	0.0	-18.670553891326378	-20.176088242471415	2462.890685920495	-0.9328522453578678	0.0005	0	0.0	-0.010088044121235708	49.989013671875	242	241
2014-04-20_16:51:36_052937	3192651.0	-189.0	-52.0	-196.0	-0.26774809160305413	1.0704198473282447	4.325381679389313	-0.6981738281250001	-0.331533203125	-0.5078125	0.0	43.96	37.419110117230815	-37.419110117230815	-63547.60926050139	1.0704198473282447	0.5	0	0.0	-18.709555058615408	-19.779974905943654	1436.9879933012367	0.3961133365277618	0.0055	0	0.0	-0.10878986198269008	51.86572265625	242	242
2014-04-20_16:51:36_101010	3240723.0	-178.0	-71.0	-198.0	1.373473282442748	2.2383587786259542	-0.7509541984732823	-0.6183398437500001	0.210947265625	-0.680419921875	0.0	41.96	37.40416957398307	-37.40416957398307	-65350.37882506386	2.2383587786259542	0.5	0	0.0	-18.702084786991534	-20.94044356561749	427.7209848768283	-1.1604686596738354	0.0055	0	0.0	-0.11517243961089618	48.197021484375	242	242
2014-04-20_16:51:36_151899	3291615.0	-211.0	6.0	-189.0	1.3276717557251905	-0.10515267175572518	0.5772900763358779	-0.9518359375000001	0.201181640625	-0.71044921875	0.0	48.15	37.62426746799272	-37.62426746799272	-67230.11331490336	-0.10515267175572518	0.5	0	0.0	-18.81213373399636	-18.706981062240637	-506.8927596534113	2.2334625033768525	0.0055	0	0.0	-0.1028883958423235	49.960693359375	242	242
2014-04-20_16:51:36_201382	3341102.0	-187.0	-16.0	-234.0	-3.4509541984732826	-1.0517175572519082	-2.4837786259541983	-0.7223437500000001	0.773935546875	-1.04541015625	0.0	38.63	37.695988509075804	-37.695988509075804	-69115.52014642199	-1.0517175572519082	0.5	0	0.0	-18.847994254537902	-17.796276697285993	-1396.993350929337	0.9107043649546434	0.0055	0	0.0	-0.09787952183507295	50.01611328125	242	242
2014-04-20_16:51:36_251701	3391449.0	-185.0	-20.0	-179.0	-1.6723282442748095	-0.09751908396946529	-0.16316793893129755	-0.8331835937500001	0.391611328125	-0.800048828125	0.0	45.95	37.86579615218752	-37.86579615218752	-71006.54503214237	-0.09751908396946529	0.5	0	0.0	-18.93289807609376	-18.835378992124294	-2337.6356726417357	-1.039102294838301	0.0055	0	0.0	-0.10359458445668361	49.940185546875	242	242
2014-04-20_16:51:36_301593	3441307.0	-185.0	-73.0	-217.0	-0.26011450381679424	0.05515267175572536	1.0811068702290076	-0.6339648437500001	0.638193359375	-1.28076171875	0.0	40.45	37.91481914628569	-37.91481914628569	-72897.35224956286	0.05515267175572536	0.5	0	0.0	-18.957409573142844	-19.012562244898568	-3285.789738090636	-0.17718325277427383	0.0055	0	0.0	-0.10456909234694212	49.869873046875	242	242
2014-04-20_16:51:36_352020	3491734.0	-150.0	-34.0	-210.0	1.1902671755725187	1.5055343511450383	1.3330152671755726	-0.7247851562500001	-0.332021484375	-0.652587890625	0.0	35.54	37.79343069686904	-37.79343069686904	-74790.27165735682	1.5055343511450383	0.5	0	0.0	-18.89671534843452	-20.402249699579556	-4307.655541403172	-1.3896874546809883	0.0055	0	0.0	-0.11221237334768755	50.0859375	242	242
2014-04-20_16:51:36_402269	3541982.0	-205.0	45.0	-172.0	1.6330152671755722	3.154389312977099	0.8979007633587788	-0.6647265625000001	0.39478515625	-0.61279296875	0.0	50.01	37.882911459405726	-37.882911459405726	-76686.98838496229	3.154389312977099	0.5	0	0.0	-18.941455729702863	-22.09584504267996	-5413.947462707547	-1.6935953431004052	0.0055	0	0.0	-0.12152714773473978	50.06787109375	242	242
2014-04-20_16:51:36_452664	3592384.0	-177.0	25.0	-214.0	-3.1456106870229013	-0.06698473282442707	-1.5448473282442747	-0.8492968750000001	-0.241201171875	-0.73681640625	0.0	39.6	37.92048136153831	-37.92048136153831	-78584.53075356246	-0.06698473282442707	0.5	0	0.0	-18.960240680769154	-18.893255947944727	-6359.366728360512	3.2025890947352345	0.0055	0	0.0	-0.10391290771369599	50.0400390625	242	242
2014-04-20_16:51:36_502720	3642434.0	-174.0	44.0	-174.0	-2.939503816793893	0.24599236641221411	0.508587786259542	-0.8182910156250001	0.08765625	-0.807373046875	0.0	45.0	38.0500769289462	-38.0500769289462	-80488.21437534424	0.24599236641221411	0.5	0	0.0	-19.0250384644731	-19.271030830885312	-7323.515784776731	-0.37777488294058514	0.0055	0	0.0	-0.10599066956986922	50.031005859375	242	242
2014-04-20_16:51:36_554709	3694426.0	-184.0	36.0	-169.0	-0.35171755725190845	-0.6700381679389311	-2.4990458015267176	-0.6871875000000001	-0.052724609375	-1.01123046875	0.0	47.44	38.271525121235136	-38.271525121235136	-82453.31142962829	-0.6700381679389311	0.5	0	0.0	-19.135762560617568	-18.465724392678638	-8271.660403898268	0.8053064382066744	0.010499999999999999	0	0.0	-0.19389010612312568	51.34619140625	242	242
2014-04-20_16:51:36_605462	3745179.0	-151.0	-69.0	-211.0	1.5948473282442746	-2.3417938931297706	2.661259541984733	-0.5939257812500001	0.61158203125	-0.676513671875	0.0	35.59	38.33191779651707	-38.33191779651707	-84357.25479190021	-2.3417938931297706	0.5	0	0.0	-19.165958898258534	-16.824165005128762	-9107.315365315122	1.6415593875498757	0.0155	0	0.0	-0.2607745575794958	49.669921875	241	242
2014-04-20_16:51:36_655051	3794774.0	-205.0	-6.0	-174.0	-0.397519083969466	1.1162213740458018	-1.170801526717557	-0.6769335937500001	-0.04662109375	-0.814697265625	0.0	49.68	38.5033792390587	-38.5033792390587	-86310.56806963481	1.1162213740458018	0.5	0	0.0	-19.25168961952935	-20.36791099357515	-10140.598982746507	-3.543745988446389	0.0205	0	0.0	-0.41754217536829064	50.73095703125	241	243
2014-04-20_16:51:36_705188	3844909.0	-148.0	-64.0	-234.0	6.083396946564886	1.6505725190839695	4.348282442748092	-0.7494433593750001	0.682138671875	-0.472412109375	0.0	32.31	38.29992973096479	-38.29992973096479	-88197.17622936098	1.6505725190839695	0.5	0	0.0	-19.149964865482396	-20.800537384566365	-11165.208266159507	-0.4326263909912136	0.025500000000000002	0	0.0	-0.5304137033064423	49.2587890625	240	243
2014-04-20_16:51:36_754755	3894473.0	-184.0	-13.0	-217.0	-0.06164122137404604	2.81087786259542	-2.842557251908397	-0.6661914062500001	-0.12474609375	-0.727783203125	0.0	40.3	38.201219639702046	-38.201219639702046	-90120.37820706687	2.81087786259542	0.5	0	0.0	-19.100609819851023	-21.91148768244644	-12268.320073656967	-1.110950297880077	0.030500000000000003	0	0.0	-0.6683003743146165	50.343994140625	240	244
2014-04-20_16:51:36_805612	3945334.0	-182.0	-63.0	-209.0	-1.3517175572519085	1.093320610687023	-0.140267175572519	-1.002373046875	0.093515625	-0.512939453125	0.0	41.05	38.20483644347377	-38.20483644347377	-92024.99563559421	1.093320610687023	0.5	0	0.0	-19.102418221736887	-20.19573883242391	-13275.133863296729	1.715748850022532	0.035500000000000004	0	0.0	-0.7169487285510489	49.852783203125	240	244
2014-04-20_16:51:36_856008	3995722.0	-153.0	-101.0	-229.0	-1.626526717557252	-3.5097328244274806	-1.8883587786259541	-0.6246875000000001	-0.87767578125	-1.332275390625	0.0	33.75	38.2895455805542	-38.2895455805542	-93959.77684357723	-3.5097328244274806	0.5	0	0.0	-19.1447727902771	-15.635039965849618	-14065.17670797735	4.560698866574292	0.0405	0	0.0	-0.6332191186169095	50.5302734375	240	244
2014-04-20_16:51:36_905758	4045479.0	-189.0	-9.0	-162.0	0.014694656488549285	0.047519083969465914	0.5849236641221375	-0.7457812500000001	-0.73216796875	-0.834716796875	0.0	49.4	38.50950199452994	-38.50950199452994	-95861.37153923485	0.047519083969465914	0.5	0	0.0	-19.25475099726497	-19.302270081234436	-15018.320542603931	-3.667230115384818	0.0455	0	0.0	-0.8782532886961668	49.3798828125	239	245
2014-04-20_16:51:36_956006	4095725.0	-162.0	12.0	-174.0	0.770419847328244	4.009351145038169	2.875	-0.6740039062500001	-0.16283203125	-0.620849609375	0.0	42.96	38.39971333093272	-38.39971333093272	-97803.79141330125	4.009351145038169	0.5	0	0.0	-19.19985666546636	-23.20920781050453	-16192.34041415712	-3.906937729270094	0.050499999999999996	0	0.0	-1.1720649944304786	50.584228515625	238	246
2014-04-20_16:51:37_008662	4148427.0	-179.0	49.0	-203.0	-2.5883587786259543	-0.7463740458015264	-2.4227099236641223	-0.9413378906250001	0.3601171875	-0.66015625	0.0	41.41	38.4959725436667	-38.4959725436667	-99703.3458553644	-0.7463740458015264	0.5	0	0.0	-19.24798627183335	-18.501612226031824	-17105.288376425724	4.707595584472706	0.055499999999999994	0	0.0	-1.026839478544766	49.34423828125	238	246
2014-04-20_16:51:37_058388	4198145.0	-174.0	42.0	-162.0	-2.0082061068702295	1.4597328244274812	-1.0028625954198471	-0.7318652343750001	1.104013671875	-0.600341796875	0.0	47.05	38.59417056605505	-38.59417056605505	-101669.01970325959	1.4597328244274812	0.5	0	0.0	-19.297085283027524	-20.756818107455004	-18162.472244375662	-2.25520588142318	0.06049999999999999	0	0.0	-1.2557874955010275	50.931884765625	238	247
