datetime	x	y	z	d	speed	speed_real
2013-12-28_12:44:33_803544	27.0	163.0	-223.0	19.53	8.2	251
2013-12-28_12:44:33_813770	26.0	161.0	-221.0	19.69	8.3	251
2013-12-28_12:44:33_823909	26.0	160.0	-222.0	19.6	8.4	251
2013-12-28_12:44:33_834183	26.0	163.0	-221.0	19.7	8.5	252
2013-12-28_12:44:33_844366	25.0	160.0	-222.0	19.16	8.6	252
2013-12-28_12:44:33_854540	23.0	160.0	-222.0	19.06	8.7	253
2013-12-28_12:44:33_864695	24.0	161.0	-218.0	19.16	8.8	253
2013-12-28_12:44:33_874841	23.0	161.0	-219.0	19.26	8.9	253
2013-12-28_12:44:33_885007	25.0	164.0	-221.0	19.55	9.0	254
2013-12-28_12:44:33_895233	25.0	163.0	-222.0	19.45	9.1	254
2013-12-28_12:44:33_905474	23.0	161.0	-223.0	19.23	9.2	254
2013-12-28_12:44:33_915630	23.0	159.0	-222.0	19.63	9.3	255
2013-12-28_12:44:33_925775	24.0	162.0	-223.0	19.43	9.4	255
2013-12-28_12:44:33_935889	27.0	160.0	-223.0	19.11	9.5	256
2013-12-28_12:44:33_946032	25.0	159.0	-224.0	19.33	9.6	256
2013-12-28_12:44:33_956114	26.0	161.0	-219.0	19.84	9.7	256
2013-12-28_12:44:33_965968	26.0	161.0	-223.0	14.94	9.8	257
2013-12-28_12:44:33_976140	25.0	160.0	-221.0	19.4	9.9	257
2013-12-28_12:44:33_986268	26.0	160.0	-221.0	19.63	10.0	257
2013-12-28_12:44:33_996379	27.0	160.0	-223.0	19.58	10.1	258
2013-12-28_12:44:34_006580	25.0	161.0	-222.0	19.87	10.2	258
2013-12-28_12:44:34_016715	25.0	161.0	-221.0	19.46	10.3	259
2013-12-28_12:44:34_026850	22.0	161.0	-222.0	19.53	10.4	259
2013-12-28_12:44:34_037011	22.0	163.0	-218.0	19.74	10.5	259
2013-12-28_12:44:34_047262	27.0	159.0	-222.0	19.58	10.6	260
2013-12-28_12:44:34_057418	23.0	162.0	-222.0	19.98	10.7	260
2013-12-28_12:44:34_067583	22.0	163.0	-219.0	19.82	10.8	261
2013-12-28_12:44:34_077733	3.0	161.0	-221.0	20.15	10.9	261
2013-12-28_12:44:34_087862	87.0	157.0	-230.0	19.7	11.0	261
2013-12-28_12:44:34_098074	35.0	161.0	-215.0	19.53	11.1	262
2013-12-28_12:44:34_108241	-14.0	161.0	-225.0	19.75	11.2	262
2013-12-28_12:44:34_118401	96.0	188.0	-221.0	19.84	11.3	262
2013-12-28_12:44:34_128536	13.0	156.0	-218.0	19.67	11.4	263
2013-12-28_12:44:34_138698	58.0	160.0	-233.0	19.43	11.5	263
2013-12-28_12:44:34_148863	22.0	171.0	-221.0	19.69	11.6	264
2013-12-28_12:44:34_159063	70.0	167.0	-222.0	19.89	11.7	264
2013-12-28_12:44:34_169255	40.0	158.0	-221.0	20.21	11.8	264
2013-12-28_12:44:34_179420	40.0	162.0	-220.0	19.89	11.9	265
2013-12-28_12:44:34_189567	-13.0	158.0	-224.0	19.38	12.0	265
2013-12-28_12:44:34_199704	51.0	170.0	-228.0	19.14	12.1	265
2013-12-28_12:44:34_209860	31.0	164.0	-222.0	19.5	12.2	266
2013-12-28_12:44:34_219977	16.0	155.0	-225.0	19.57	12.3	266
2013-12-28_12:44:34_230198	30.0	157.0	-217.0	19.86	12.4	267
2013-12-28_12:44:34_240368	31.0	158.0	-227.0	19.6	12.5	267
2013-12-28_12:44:34_250510	88.0	170.0	-225.0	19.72	12.6	267
2013-12-28_12:44:34_260660	-1.0	155.0	-224.0	19.86	12.7	268
2013-12-28_12:44:34_270920	25.0	162.0	-206.0	19.58	12.8	268
2013-12-28_12:44:34_281098	35.0	154.0	-241.0	19.74	12.9	269
2013-12-28_12:44:34_291231	27.0	152.0	-213.0	19.69	13.0	269
2013-12-28_12:44:34_301398	-6.0	166.0	-195.0	19.74	13.1	269
2013-12-28_12:44:34_311613	57.0	181.0	-226.0	19.55	13.2	270
2013-12-28_12:44:34_321785	-29.0	171.0	-214.0	19.21	13.3	270
2013-12-28_12:44:34_332325	58.0	156.0	-241.0	19.72	13.4	270
2013-12-28_12:44:34_342637	16.0	155.0	-208.0	19.8	13.5	271
2013-12-28_12:44:34_352777	43.0	172.0	-212.0	19.23	13.6	271
2013-12-28_12:44:34_362835	6.0	181.0	-247.0	19.21	13.7	272
2013-12-28_12:44:34_372992	16.0	163.0	-201.0	19.33	13.8	272
2013-12-28_12:44:34_382947	-48.0	125.0	-219.0	14.62	13.9	272
2013-12-28_12:44:34_392944	175.0	146.0	-203.0	13.75	14.0	273
2013-12-28_12:44:34_402938	243.0	232.0	-252.0	15.57	14.1	273
2013-12-28_12:44:34_412799	212.0	124.0	-226.0	14.33	14.2	273
2013-12-28_12:44:34_422683	1.0	203.0	-175.0	14.5	14.3	274
2013-12-28_12:44:34_432579	-89.0	140.0	-237.0	14.96	14.4	274
2013-12-28_12:44:34_442288	162.0	48.0	-160.0	12.41	14.5	275
2013-12-28_12:44:34_452184	-151.0	154.0	-277.0	14.26	14.6	275
2013-12-28_12:44:34_462153	-43.0	116.0	-154.0	14.89	14.7	275
2013-12-28_12:44:34_472160	-79.0	200.0	-252.0	15.59	14.8	276
2013-12-28_12:44:34_482288	-106.0	184.0	-134.0	18.51	14.9	276
2013-12-28_12:44:34_492202	48.0	110.0	-317.0	14.66	15.0	276
2013-12-28_12:44:34_502196	12.0	242.0	-418.0	14.06	15.1	277
2013-12-28_12:44:34_512050	-17.0	120.0	-21.0	13.31	15.2	277
2013-12-28_12:44:34_521937	122.0	138.0	-367.0	15.51	15.3	278
2013-12-28_12:44:34_531738	-177.0	219.0	-322.0	13.72	15.4	278
2013-12-28_12:44:34_541561	-344.0	140.0	192.0	13.79	15.5	278
2013-12-28_12:44:34_551455	132.0	-39.0	-322.0	15.3	15.6	279
2013-12-28_12:44:34_561208	371.0	170.0	-512.0	13.84	15.7	279
2013-12-28_12:44:34_571043	-387.0	302.0	182.0	14.23	15.8	280
2013-12-28_12:44:34_580795	-419.0	185.0	118.0	13.84	15.9	280
2013-12-28_12:44:34_590676	421.0	81.0	-439.0	13.94	16.0	280
2013-12-28_12:44:34_600596	373.0	207.0	-512.0	13.16	16.1	281
2013-12-28_12:44:34_610394	-11.0	292.0	-205.0	12.99	16.2	281
2013-12-28_12:44:34_620227	366.0	198.0	-478.0	14.77	16.3	281
2013-12-28_12:44:34_630161	126.0	322.0	-311.0	14.74	16.4	282
