datetime	reltime	speed	adxlx	adxly	adxlz	gyrox	gyroy	gyroz	mpu_accelx	mpu_accely	mpu_accelz	distance	atan	asin	angle	angle_rad	error	integral	derivative	Kp	Ki	Kd	dt	diff_speed
2014-02-01_23:22:53_755049	303352.59375	18.0	11.0	-93.0	-164.0	-7.427480916030534	-11.259541984732824	5.152671755725191	-0.6748046875	-0.21044921875	1.33447265625	0.0	0.0	0.0	0	0	0	0	0	0.15	0.01	0.1	0	0
2014-02-01_23:22:53_822995	310173.109375	11.38	-17.0	-32.0	-230.0	-2.282442748091603	-20.206106870229007	4.320610687022901	-0.309326171875	0.093505859375	1.0592041015625	0.0	0.0	-3.68	4.1846577825556945	0.14601039017989165	-4.1846577825556945	-0.2924152222956765	-59.88525706571212	0.15	0.01	0.1	0.0698779296875	-6.619148526177523
2014-02-01_23:22:53_890850	316893.796875	10.0	112.0	244.0	-291.0	-2.1603053435114505	-12.305343511450381	-1.984732824427481	-0.5302734375	0.0257568359375	1.19873046875	0.0	0.0	38.73	10.337302322481742	0.360687450191268	-10.337302322481742	-0.995467872975127	-90.4651260905077	0.15	0.01	0.1	0.06801123046875	-10.607062636152783
2014-02-01_23:22:53_957925	323601.515625	10.0	42.0	105.0	-253.0	-2.519083969465649	-4.419847328244275	1.5648854961832062	-0.4510498046875	-0.0870361328125	1.0142822265625	0.0	0.0	12.42	11.50348963025618	0.40137786567537265	-11.50348963025618	-1.7685158567802526	-17.35367517018375	0.15	0.01	0.1	0.067201171875	-3.4785761201246044
2014-02-01_23:22:54_025184	330327.203125	12.39	109.0	72.0	-252.0	-7.251908396946565	10.213740458015268	3.213740458015267	-0.2237548828125	0.0472412109375	0.8775634765625	0.0	0.0	8.37	8.985039796157329	0.3135045288261455	-8.985039796157329	-2.3702261597894694	37.60675506275549	0.15	0.01	0.1	0.066968017578125	2.389217275254055
2014-02-01_23:22:54_092159	337024.40625	25.0	133.0	108.0	-259.0	-6.244274809160306	42.93893129770992	-5.297709923664122	-0.392333984375	0.0084228515625	1.2496337890625	0.0	0.0	12.8	0.08579486839515706	0.0029935404185330444	-0.08579486839515706	-2.375977599765889	132.75102418245004	0.15	0.01	0.1	0.067037109375	13.238473411988073
2014-02-01_23:22:54_159367	343745.8125	25.0	102.0	92.0	-207.0	-8.282442748091603	75.89312977099236	-12.259541984732824	-0.30810546875	0.0692138671875	0.6651611328125	0.0	0.0	10.8	-15.234579076685316	-0.531562424169062	15.234579076685316	-1.3554430512311855	228.70313277079708	0.15	0.01	0.1	0.066988037109375	25.141945708070196
2014-02-01_23:22:54_227194	350531.703125	25.0	84.0	-59.0	-232.0	-11.541984732824428	89.99236641221374	-17.198473282442748	-0.5252685546875	-0.0677490234375	0.845947265625	0.0	0.0	-6.83	-34.03180451074104	-1.1874321183091778	34.03180451074104	0.9478271516628813	277.73706294308164	0.15	0.01	0.1	0.067679931640625	32.88795524243595
2014-02-01_23:22:54_294429	357251.90625	25.0	25.0	203.0	-279.0	0.6564885496183206	29.603053435114504	-1.297709923664122	-0.6341552734375	0.05859375	-0.1529541015625	0.0	0.0	27.16	-34.31773578525317	-1.1974087852495872	34.31773578525317	3.250659492789776	4.261063107462788	0.15	0.01	0.1	0.067103271484375	5.606273273462152
2014-02-01_23:22:54_361421	363951.0	10.0	20.0	168.0	-8.0	0.6641221374045801	-64.13740458015268	10.748091603053435	-0.24853515625	0.044921875	0.6492919921875	0.0	0.0	21.12	-14.911098755441127	-0.52027560207401	14.911098755441127	4.2502528105547395	-289.4920125212053	0.15	0.01	0.1	0.067036865234375	-26.670033910698816
2014-02-01_23:22:54_428444	370653.109375	10.0	22.0	109.0	-84.0	2.519083969465649	-89.79389312977099	13.610687022900763	-0.300048828125	0.2093505859375	-0.3994140625	0.0	0.0	12.93	7.207870641234629	0.2514958353536158	-7.207870641234629	3.7688898811564866	-331.20678887335407	0.15	0.01	0.1	0.066782958984375	-34.16417058470904
2014-02-01_23:22:54_495401	377349.59375	10.0	102.0	149.0	-399.0	1.3053435114503817	-97.96946564885496	14.648854961832061	-0.408447265625	-0.146728515625	1.1455078125	0.0	0.0	18.3	29.46160412247887	1.0279694390257805	-29.46160412247887	1.7967605985613933	-332.44812693457783	0.15	0.01	0.1	0.06693896484375	-37.646085705844
2014-02-01_23:22:54_562091	384018.40625	10.0	72.0	25.0	-201.0	-3.9923664122137406	-75.08396946564885	7.702290076335878	-0.2965087890625	-0.0889892578125	0.959716796875	0.0	0.0	2.87	42.98067372574381	1.4996745891745922	-42.98067372574381	-1.0755152644526444	-202.2990643676594	0.15	0.01	0.1	0.0668271484375	-26.68776264827204
2014-02-01_23:22:54_628949	390703.796875	10.0	68.0	18.0	-318.0	-5.3893129770992365	-31.213740458015266	-0.19083969465648856	-0.0977783203125	0.027099609375	1.41357421875	0.0	0.0	2.07	45.597236521881335	1.5909712673371017	-45.597236521881335	-4.114744739986071	-39.25601329228278	0.15	0.01	0.1	0.06665380859375	-10.80633425491034
2014-02-01_23:22:54_714764	399286.109375	10.0	95.0	7.0	-242.0	-7.091603053435114	-8.01526717557252	-1.251908396946565	-0.17236328125	0.0224609375	0.60986328125	0.0	0.0	0.8	43.055678851244984	1.5022916556610253	-43.055678851244984	-7.343363536891184	33.89328308245398	0.15	0.01	0.1	0.074987060546875	-3.1424571548102604
2014-02-01_23:22:54_788209	406630.3125	24.64	118.0	17.0	-211.0	-4.778625954198473	42.54961832061068	-2.236641221374046	-0.2630615234375	-0.0040283203125	0.987548828125	0.0	0.0	1.95	28.18419425920714	0.9833982644524473	-28.18419425920714	-9.554075035911346	189.5954360623596	0.15	0.01	0.1	0.07843798828125	14.636373716995777
2014-02-01_23:22:54_860648	413873.515625	25.0	62.0	74.0	-232.0	-6.938931297709924	91.58778625954199	-9.511450381679388	-0.369384765625	-0.121337890625	0.872314453125	0.0	0.0	8.61	4.680572165284014	0.16331375315017493	-4.680572165284014	-9.895588824458452	322.1257912431168	0.15	0.01	0.1	0.072964111328125	31.411537411274495
2014-02-01_23:22:54_928383	420647.203125	25.0	138.0	186.0	-300.0	-10.389312977099237	130.7709923664122	-20.236641221374047	-0.4532470703125	-0.0250244140625	1.1033935546875	0.0	0.0	24.05	-23.9743365552133	-0.8365086027638974	23.9743365552133	-8.156155887003656	394.94619817268597	0.15	0.01	0.1	0.072553955078125	43.00920874168056
