datetime	reltime	speed	adxlx	adxly	adxlz	gyrox	gyroy	gyroz	mpu_accelx	mpu_accely	mpu_accelz	distance	atan	angle	avgy	error	integral	derivative	Kp	Ki	Kd	dt	diff_speed
2014-02-01_22:41:52_448190	509508.484375	25.0	148.0	108.0	-370.0	18.267175572519083	9.251908396946565	1.7099236641221374	-0.22119140625	-0.324462890625	-0.127197265625	0.0	-8.14	-15.483985346964037	-0.5402646666770424	15.483985346964037	14.7027842704084	10.890291358818756	0.1	0.01	5	0.0366689453125	56.14688317149427
2014-02-01_22:41:52_484683	513158.078125	25.0	15.0	63.0	-14.0	33.656488549618324	-2.8473282442748094	-11.19083969465649	-0.830322265625	-0.355712890625	1.42919921875	0.0	-38.75	-17.473620231709777	-0.6096866794036908	17.473620231709777	15.344521743908425	54.174994933979605	0.1	0.01	5	0.03672607421875	272.7757819105081
2014-02-01_22:41:52_521368	516830.6875	25.0	159.0	488.0	-97.0	-21.885496183206108	23.549618320610687	-16.045801526717558	-0.6962890625	0.22509765625	0.3193359375	0.0	-39.4	-22.420996180463913	-0.7823097062269334	22.420996180463913	16.158087515225272	136.34435120198174	0.1	0.01	5	0.036285888671875	684.1254365031073
2014-02-01_22:41:52_559004	520596.390625	10.0	72.0	-118.0	-388.0	19.091603053435115	-16.16030534351145	-14.412213740458014	-0.333251953125	-0.226806640625	-2.0	0.0	8.46	-17.386832777635007	-0.6066585058490931	17.386832777635007	16.807419500087292	-134.79723669992285	0.1	0.01	5	0.03734619140625	-672.0794260268499
2014-02-01_22:41:52_595889	524277.78125	10.0	171.0	409.0	-456.0	0.3816793893129771	-19.786259541984734	-2.969465648854962	-0.274169921875	0.452880859375	-0.690185546875	0.0	-20.95	-15.399405174156685	-0.5373135092169116	15.399405174156685	17.373257409347858	-54.08828644984324	0.1	0.01	5	0.036744140625	-268.72775915770706
2014-02-01_22:41:52_632804	527969.984375	10.0	-34.0	185.0	-94.0	-3.3282442748091605	-40.37404580152672	2.519083969465649	-0.102294921875	0.2080078125	-2.0	0.0	-31.55	-12.244038088366416	-0.42721696051522734	12.244038088366416	17.8219105315663	-86.11203816025893	0.1	0.01	5	0.036642578125	-429.15756788714236
2014-02-01_22:41:52_669357	531625.390625	10.0	78.0	86.0	-317.0	12.938931297709924	-13.763358778625955	14.946564885496183	0.56396484375	-0.628662109375	1.991943359375	0.0	-7.59	-10.139750566433392	-0.35379450685392155	10.139750566433392	18.196442617063852	-56.96962001029563	0.1	0.01	5	0.03693701171875	-283.65216056866416
2014-02-01_22:41:52_706249	535313.984375	10.0	108.0	6.0	-308.0	-28.81679389312977	-8.053435114503817	5.473282442748092	-0.934814453125	-0.23779296875	0.7353515625	0.0	-0.56	-8.236353191107705	-0.28738147910354866	8.236353191107705	18.496269198829797	-52.287068591029296	0.1	0.01	5	0.03640283203125	-260.4267449440474
2014-02-01_22:41:52_743280	539041.6875	25.0	129.0	13.0	-359.0	27.106870229007633	14.82442748091603	-6.312977099236641	-0.3623046875	0.113525390625	-0.140625	0.0	-1.04	-9.275026419006991	-0.32362269431287477	9.275026419006991	18.837515898376758	28.230959133878414	0.1	0.01	5	0.0367919921875	142.27067347027653
2014-02-01_22:41:52_780205	542709.890625	25.0	-8.0	194.0	-200.0	-13.82442748091603	30.282442748091604	-3.618320610687023	-0.22900390625	0.014404296875	1.99993896484375	0.0	-22.07	-14.16284513334277	-0.4941676599212411	14.16284513334277	19.360873827218953	132.2716551636794	0.1	0.01	5	0.036952880859375	662.9681690700035
2014-02-01_22:41:52_817048	546393.796875	25.0	127.0	42.0	-512.0	45.587786259541986	48.74045801526717	-16.38167938931298	-0.109619140625	0.28857421875	-0.531005859375	0.0	-2.35	-18.74386731711173	-0.6540079315112257	18.74386731711173	20.048209977372807	124.92587792754763	0.1	0.01	5	0.036669921875	626.7042584692231
2014-02-01_22:41:52_853700	550060.078125	25.0	-104.0	360.0	-252.0	-14.022900763358779	42.969465648854964	-10.114503816793894	-0.40478515625	0.49560546875	1.998291015625	0.0	-27.52	-24.699928794150214	-0.8618258476674883	24.699928794150214	20.953683075049963	162.47229735905987	0.1	0.01	5	0.036658935546875	815.0410165054649
2014-02-01_22:41:52_890390	553732.078125	25.0	111.0	-178.0	-362.0	15.305343511450381	49.29007633587786	-10.030534351145038	-0.656982421875	0.463134765625	0.8515625	0.0	13.1	-26.73963493264245	-0.9329949383336514	26.73963493264245	21.932832885753633	55.7024031633688	0.1	0.01	5	0.036617919921875	281.4053076389658
2014-02-01_22:41:52_927760	557464.984375	10.0	91.0	-336.0	-223.0	-6.137404580152672	42.961832061068705	-6.854961832061068	-1.157470703125	-0.520751953125	1.347900390625	0.0	28.23	-26.323287579660608	-0.9184678150614308	26.323287579660608	22.898240743054462	-11.352332615370829	0.1	0.01	5	0.036675048828125	-53.900351911457534
2014-02-01_22:41:52_964894	561178.6875	25.0	70.0	267.0	-69.0	8.427480916030534	23.580152671755727	-1.3358778625954197	-0.665771484375	0.82861328125	1.94873046875	0.0	-37.77	-30.289262613764972	-1.056847962797103	30.289262613764972	24.0221897943066	106.8789187497383	0.1	0.01	5	0.037107177734375	537.663741908011
2014-02-01_22:41:53_001563	564846.078125	10.0	198.0	417.0	-510.0	24.229007633587788	-12.67175572519084	4.885496183206107	-0.665283203125	0.695556640625	1.99993896484375	0.0	-19.64	-27.713751362077378	-0.9669836483627836	27.713751362077378	25.047097906812642	-69.64241729434231	0.1	0.01	5	0.03698193359375	-345.19024035643565
2014-02-01_22:41:53_038529	568542.1875	10.0	147.0	64.0	-324.0	61.54961832061068	-19.763358778625953	8.83969465648855	-0.695068359375	0.547119140625	0.47802734375	0.0	-5.59	-23.169663711149973	-0.8084320904099781	23.169663711149973	25.894894908368382	-124.18654766739607	0.1	0.01	5	0.0365908203125	-618.3568230167817
2014-02-01_22:41:53_075504	572240.28125	10.0	-70.0	246.0	77.0	-44.37404580152672	-17.30534351145038	11.687022900763358	-0.320556640625	0.734130859375	1.574462890625	0.0	36.33	-15.162125835467425	-0.5290343976087727	15.162125835467425	26.454150067877233	-217.0946388943396	0.1	0.01	5	0.036885009765625	-1083.6924403874725
2014-02-01_22:41:53_112187	575907.890625	10.0	-141.0	30.0	180.0	-78.96946564885496	-26.0	6.572519083969466	-0.962646484375	-0.846435546875	1.07958984375	0.0	4.73	-10.08687339122966	-0.35194952516502653	10.08687339122966	26.825438617973838	-137.8804404828406	0.1	0.01	5	0.03680908203125	-688.1252606889004
2014-02-01_22:41:53_148797	579568.796875	10.0	110.0	81.0	-29.0	-8.931297709923664	-22.801526717557252	2.015267175572519	-1.1220703125	-0.103515625	1.44580078125	0.0	-35.17	-9.906189103621179	-0.3456451187585896	9.906189103621179	27.18770863067416	-4.9407697528178804	0.1	0.01	5	0.036570068359375	-23.44135276742054
2014-02-01_22:41:53_185856	583278.171875	10.0	205.0	142.0	-258.0	12.748091603053435	-9.67175572519084	4.114503816793893	-0.813720703125	-0.237548828125	0.87493896484375	0.0	-14.42	-9.220811534093501	-0.32173103747709353	9.220811534093501	27.52383602612791	-18.801613566125738	0.1	0.01	5	0.036453125	-92.81074831695805
2014-02-01_22:41:53_223091	587005.875	25.0	109.0	189.0	-335.0	28.389312977099237	7.221374045801527	-2.6412213740458017	-0.450927734375	-0.290283203125	0.95068359375	0.0	-14.72	-10.632012171114981	-0.37097041769417244	10.632012171114981	27.917051755562895	38.15692309729536	0.1	0.01	5	0.036984130859375	192.12698722114393
2014-02-01_22:41:53_259835	590672.78125	25.0	71.0	144.0	-158.0	23.709923664122137	17.610687022900763	-1.251908396946565	-0.619384765625	-0.17529296875	1.446533203125	0.0	-21.18	-13.797107521222072	-0.48140640339225654	13.797107521222072	28.429781374325184	85.16995949202872	0.1	0.01	5	0.037162109375	427.5138060260091
2014-02-01_22:41:53_296659	594355.171875	25.0	1.0	51.0	-168.0	12.870229007633588	42.05343511450382	-8.541984732824428	-0.32470703125	0.3447265625	0.330322265625	0.0	-8.45	-18.214665960055076	-0.6355431249146921	18.214665960055076	29.09508805749995	120.94324821509244	0.1	0.01	5	0.03652587890625	606.8286585520427
2014-02-01_22:41:53_333488	598038.296875	25.0	32.0	319.0	-195.0	13.610687022900763	46.030534351145036	-8.122137404580153	-0.610107421875	0.06787109375	1.084228515625	0.0	-29.29	-24.7679310436892	-0.8641985709591486	24.7679310436892	30.003828043105113	178.61084608748408	0.1	0.01	5	0.036690185546875	895.8310618222204
2014-02-01_22:41:53_370218	601711.484375	10.0	-19.0	-310.0	-276.0	-29.419847328244273	30.893129770992367	-9.603053435114504	-0.56689453125	-0.70947265625	1.079833984375	0.0	24.17	-23.530977922471138	-0.8210390063667529	23.530977922471138	30.867724006739742	-33.69238636566216	0.1	0.01	5	0.036713134765625	-165.8001567959963
