datetime	reltime	speed	x	y	z	d	error	integral	derivative	dt	diff_speed
2014-02-01_17:51:14_610077	474167.296875	20.5	0	0	0	0.0	0	0	0	0	0
2014-02-01_17:51:14_628243	475967.6875	20.5	0	0	0	0.0	0	0.0	0.0	21.71484375	0.0
2014-02-01_17:51:14_646102	477731.515625	20.5	0	0	0	0.0	0	0.0	0.0	17.8828125	0.0
2014-02-01_17:51:14_689764	482097.8125	20.57	-0.12488126467754557	43.63625943670422	3.212190941776678	0.0	43.63625943670422	1841.0005754388233	1.0342870953060344	42.189697265625	0.07448798646336038
2014-02-01_17:51:14_708684	484015.421875	20.48	0	0	0	0.0	0	1841.0005754388233	-2.264578448834864	19.26904296875	-0.09481891668735498
2014-02-01_17:51:14_752109	488355.015625	20.57	-0.004359637387415157	43.64028573207574	3.0889432418509815	0.0	43.64028573207574	3712.6425076331625	1.0175421409502088	42.887939453125	0.09236756069704964
2014-02-01_17:51:14_771197	490263.203125	20.5	0	0	0	0.0	0	3712.6425076331625	-2.2541629090088304	19.35986328125	-0.0755817203741099
2014-02-01_17:51:14_814819	494603.890625	20.61	0.08953608423276617	43.742656013672196	2.951404584289784	0.0	43.742656013672196	5591.483561782912	1.018404378009693	42.9521484375	0.11120932011968099
2014-02-01_17:51:14_833837	496505.09375	20.55	0	0	0	0.0	0	5591.483561782912	-2.238616610425325	19.5400390625	-0.05601599490343712
2014-02-01_17:51:14_877155	500858.90625	20.68	0.21395212059006966	43.81135135678483	2.7994812734866152	0.0	43.81135135678483	7474.1843996167	1.0195111560666905	42.972900390625	0.13009853693518003
2014-02-01_17:51:14_920259	505150.703125	20.78	0.34007642855983217	43.830177236849075	2.6854983734977202	0.0	43.830177236849075	9369.047711322452	0.00043546236541599457	43.23193359375	0.09809526795518023
2014-02-01_17:51:14_939214	507042.5	20.76	0	0	0	0.0	0	9369.047711322452	-2.2837568020014225	19.192138671875	-0.02049736298684661
2014-02-01_17:51:14_982616	511413.3125	20.93	0.4814027832935978	43.74257751344245	2.56728254082992	0.0	43.74257751344245	11234.984750741083	1.0254435423585786	42.6572265625	0.16799628237668401
2014-02-01_17:51:15_001641	513285.390625	20.93	0	0	0	0.0	0	11234.984750741083	-2.243799044408464	19.494873046875	0.00015989528698762134
