datetime	reltime	adxlx	adxly	adxlz	gyrox	gyroy	gyroz	mpu_accelx	mpu_accely	mpu_accelz	distance	atan	angle	error	integral	derivative	Kp	Ki	Kd	pid_output	target_angleRate2	error2	integral2	derivative2	Kp2	Ki2	Kd2	pid_output2	pitch_offset_force	pitch_offset	dt	m1_pos	m2_pos	m1_percent	m2_percent	sleep_time	sensor_time	getch_time	pid_time	motors_time	curses_time
2014-06-12_22:45:21_820561	16143355.0	0.0	0.0	0.0	7.051	61.153	2.785	-0.01	0.53	0.287	0.0	-89.97	-33.856	33.856	1000.0	61.153	0.025	0.0	0.0	0.856	0.856	0	0	0	0.08	0.0	0.0	0.0	0.0	0.856	19.899	239.0	249.0	0.051	0.079	-0.0098	0.0064	0.0033	0.0002	0.0034	0.0052
2014-06-12_22:45:21_841009	16163772.0	0.0	0.0	0.0	-14.758	15.085	0.732	0.747	1.437	-0.658	0.0	-90.01	-35.275	35.275	1000.0	15.085	0.025	0.0	0.0	0.892	0.892	0	0	0	0.08	0.0	0.0	0.0	0.0	0.892	20.021	239.0	250.0	0.051	0.079	-0.0101	0.0063	0.0035	0.0002	0.0035	0.0053
2014-06-12_22:45:21_860967	16183812.0	0.0	0.0	0.0	-7.307	-15.694	0.862	0.542	1.248	-0.588	0.0	-90.01	-36.062	36.062	1000.0	-15.694	0.025	0.0	0.0	0.912	0.912	0	0	0	0.08	0.0	0.0	0.0	0.0	0.912	20.017	239.0	250.0	0.051	0.079	-0.0098	0.0063	0.0033	0.0002	0.0034	0.0052
2014-06-12_22:45:21_881410	16204174.0	0.0	0.0	0.0	11.998	-26.167	2.358	0.873	1.344	-0.229	0.0	-90.01	-36.627	36.627	1000.0	-26.167	0.025	0.0	0.0	0.926	0.926	0	0	0	0.08	0.0	0.0	0.0	0.0	0.926	20.035	239.0	250.0	0.051	0.08	-0.0101	0.0063	0.0035	0.0002	0.0035	0.0053
2014-06-12_22:45:21_901534	16224303.0	0.0	0.0	0.0	5.456	-10.328	-1.039	-0.198	0.205	-1.014	0.0	90.0	-33.89	33.89	1000.0	-10.328	0.025	0.0	0.0	0.857	0.857	0	0	0	0.08	0.0	0.0	0.0	0.0	0.857	20.213	239.0	249.0	0.051	0.079	-0.0099	0.0063	0.0034	0.0002	0.0035	0.0052
2014-06-12_22:45:21_921630	16244429.0	0.0	0.0	0.0	-6.582	9.565	7.236	1.005	-0.089	-0.977	0.0	-90.01	-35.198	35.198	1000.0	9.565	0.025	0.0	0.0	0.89	0.89	0	0	0	0.08	0.0	0.0	0.0	0.0	0.89	19.858	239.0	250.0	0.051	0.079	-0.0099	0.0063	0.0033	0.0002	0.0035	0.0052
2014-06-12_22:45:21_941838	16264605.0	0.0	0.0	0.0	2.83	-5.412	-0.36	0.152	-0.832	-1.084	0.0	-90.0	-36.188	36.188	1000.0	-5.412	0.025	0.0	0.0	0.915	0.915	0	0	0	0.08	0.0	0.0	0.0	0.0	0.915	20.081	239.0	250.0	0.051	0.08	-0.01	0.0064	0.0034	0.0002	0.0034	0.0052
2014-06-12_22:45:21_961997	16284765.0	0.0	0.0	0.0	1.578	-6.625	2.106	0.561	-0.374	-0.499	0.0	-90.01	-37.135	37.135	1000.0	-6.625	0.025	0.0	0.0	0.938	0.938	0	0	0	0.08	0.0	0.0	0.0	0.0	0.938	19.854	239.0	250.0	0.051	0.08	-0.0099	0.0063	0.0034	0.0002	0.0035	0.0053
2014-06-12_22:45:21_982107	16304872.0	0.0	0.0	0.0	2.563	-3.679	0.862	0.049	-0.703	-1.351	0.0	-89.97	-38.12	38.12	1000.0	-3.679	0.025	0.0	0.0	0.963	0.963	0	0	0	0.08	0.0	0.0	0.0	0.0	0.963	20.059	239.0	250.0	0.05	0.08	-0.0099	0.0064	0.0034	0.0002	0.0034	0.0052
2014-06-12_22:45:22_002233	16324999.0	0.0	0.0	0.0	-1.376	-6.671	2.77	0.583	-0.716	-0.809	0.0	-90.0	-39.027	39.027	1000.0	-6.671	0.025	0.0	0.0	0.986	0.986	0	0	0	0.08	0.0	0.0	0.0	0.0	0.986	19.998	239.0	250.0	0.05	0.08	-0.0099	0.0064	0.0034	0.0002	0.0035	0.0051
2014-06-12_22:45:22_022359	16345162.0	0.0	0.0	0.0	1.792	-4.786	-1.184	0.259	-0.657	-0.972	0.0	-90.0	-39.953	39.953	1000.0	-4.786	0.025	0.0	0.0	1.009	1.009	0	0	0	0.08	0.0	0.0	0.0	0.0	1.009	19.883	238.0	250.0	0.05	0.081	-0.0099	0.0063	0.0034	0.0002	0.0034	0.0053
2014-06-12_22:45:22_042376	16365139.0	0.0	0.0	0.0	2.212	-3.007	1.388	0.24	-0.16	-0.733	0.0	-90.0	-40.895	40.895	1000.0	-3.007	0.025	0.0	0.0	1.032	1.032	0	0	0	0.08	0.0	0.0	0.0	0.0	1.032	19.914	238.0	250.0	0.05	0.081	-0.0097	0.0064	0.0032	0.0002	0.0035	0.0051
2014-06-12_22:45:22_062458	16385224.0	0.0	0.0	0.0	4.563	-7.549	0.037	0.117	-0.052	-0.99	0.0	-89.99	-41.73	41.73	1000.0	-7.549	0.025	0.0	0.0	1.053	1.053	0	0	0	0.08	0.0	0.0	0.0	0.0	1.053	19.88	238.0	250.0	0.049	0.081	-0.0098	0.0064	0.0033	0.0002	0.0034	0.0053
2014-06-12_22:45:22_082335	16405098.0	0.0	0.0	0.0	3.013	-2.74	3.03	0.33	0.301	-0.681	0.0	-90.0	-42.642	42.642	1000.0	-2.74	0.025	0.0	0.0	1.076	1.076	0	0	0	0.08	0.0	0.0	0.0	0.0	1.076	19.767	238.0	250.0	0.049	0.081	-0.0096	0.0063	0.0033	0.0002	0.0034	0.0052
2014-06-12_22:45:22_102359	16425125.0	0.0	0.0	0.0	2.586	-5.129	-1.909	0.492	0.479	-0.958	0.0	-90.0	-43.49	43.49	1000.0	-5.129	0.025	0.0	0.0	1.097	1.097	0	0	0	0.08	0.0	0.0	0.0	0.0	1.097	19.771	238.0	251.0	0.049	0.082	-0.0098	0.0063	0.0033	0.0002	0.0034	0.0052
2014-06-12_22:45:22_122422	16445252.0	0.0	0.0	0.0	-3.941	3.588	2.396	0.45	0.758	-0.636	0.0	-90.0	-44.49	44.49	1000.0	3.588	0.025	0.0	0.0	1.122	1.122	0	0	0	0.08	0.0	0.0	0.0	0.0	1.122	19.878	238.0	251.0	0.049	0.082	-0.0099	0.0064	0.0033	0.0002	0.0035	0.0052
2014-06-12_22:45:22_142680	16465445.0	0.0	0.0	0.0	-1.995	14.642	3.671	0.524	0.871	-0.848	0.0	-90.0	-45.689	45.689	1000.0	14.642	0.025	0.0	0.0	1.152	1.152	0	0	0	0.08	0.0	0.0	0.0	0.0	1.152	20.12	238.0	251.0	0.048	0.082	-0.01	0.0064	0.0034	0.0002	0.0034	0.0053
2014-06-12_22:45:22_162750	16485513.0	0.0	0.0	0.0	-1.384	14.222	1.556	0.458	0.761	-0.904	0.0	-90.0	-46.852	46.852	1000.0	14.222	0.025	0.0	0.0	1.181	1.181	0	0	0	0.08	0.0	0.0	0.0	0.0	1.181	19.856	238.0	251.0	0.048	0.083	-0.0098	0.0064	0.0032	0.0002	0.0035	0.0052
2014-06-12_22:45:22_182819	16505582.0	0.0	0.0	0.0	4.776	2.695	-2.864	0.539	0.471	-0.816	0.0	-90.0	-47.768	47.768	1000.0	2.695	0.025	0.0	0.0	1.204	1.204	0	0	0	0.08	0.0	0.0	0.0	0.0	1.204	19.879	238.0	251.0	0.048	0.083	-0.0098	0.0063	0.0033	0.0002	0.0034	0.0053
2014-06-12_22:45:22_202645	16525405.0	0.0	0.0	0.0	4.776	-7.862	-4.482	0.435	-0.294	-0.904	0.0	-90.0	-48.46	48.46	1000.0	-7.862	0.025	0.0	0.0	1.222	1.222	0	0	0	0.08	0.0	0.0	0.0	0.0	1.222	19.797	238.0	251.0	0.048	0.083	-0.0096	0.0063	0.0032	0.0002	0.0035	0.0051
2014-06-12_22:45:22_222893	16545697.0	0.0	0.0	0.0	7.586	-4.412	-2.696	0.523	-0.864	-0.731	0.0	-90.0	-49.204	49.204	1000.0	-4.412	0.025	0.0	0.0	1.24	1.24	0	0	0	0.08	0.0	0.0	0.0	0.0	1.24	20.065	238.0	251.0	0.048	0.083	-0.01	0.0063	0.0035	0.0002	0.0034	0.0053
2014-06-12_22:45:22_242932	16565773.0	0.0	0.0	0.0	2.326	-4.961	-1.093	0.322	-1.299	-0.923	0.0	-90.0	-49.924	49.924	1000.0	-4.961	0.025	0.0	0.0	1.258	1.258	0	0	0	0.08	0.0	0.0	0.0	0.0	1.258	19.873	238.0	251.0	0.047	0.083	-0.0099	0.0064	0.0033	0.0002	0.0035	0.0052
2014-06-12_22:45:22_262977	16585742.0	0.0	0.0	0.0	-3.239	-2.48	1.022	0.463	-1.161	-1.101	0.0	-90.0	-50.677	50.677	1000.0	-2.48	0.025	0.0	0.0	1.277	1.277	0	0	0	0.08	0.0	0.0	0.0	0.0	1.277	19.91	237.0	251.0	0.047	0.084	-0.0097	0.0063	0.0033	0.0002	0.0033	0.0053
2014-06-12_22:45:22_284801	16607608.0	0.0	0.0	0.0	0.235	-0.564	-0.459	0.311	-0.782	-0.91	0.0	-90.0	-51.452	51.452	1000.0	-0.564	0.025	0.0	0.0	1.296	1.296	0	0	0	0.08	0.0	0.0	0.0	0.0	1.296	19.811	237.0	251.0	0.047	0.084	-0.0117	0.0063	0.0033	0.0002	0.0036	0.0069
2014-06-12_22:45:22_305159	16627917.0	0.0	0.0	0.0	3.067	7.939	0.617	0.411	0.032	-0.855	0.0	-90.0	-52.395	52.395	1000.0	7.939	0.025	0.0	0.0	1.32	1.32	0	0	0	0.08	0.0	0.0	0.0	0.0	1.32	22.03	237.0	251.0	0.047	0.084	-0.01	0.0063	0.0035	0.0002	0.0034	0.0052
2014-06-12_22:45:22_325508	16648307.0	0.0	0.0	0.0	5.372	8.405	1.175	0.446	0.665	-1.018	0.0	-90.0	-53.313	53.313	1000.0	8.405	0.025	0.0	0.0	1.343	1.343	0	0	0	0.08	0.0	0.0	0.0	0.0	1.343	20.111	237.0	252.0	0.047	0.084	-0.0102	0.0063	0.0035	0.0002	0.0034	0.0052
2014-06-12_22:45:22_345603	16668364.0	0.0	0.0	0.0	3.914	8.901	2.404	0.597	1.119	-0.706	0.0	-90.0	-54.222	54.222	1000.0	8.901	0.025	0.0	0.0	1.366	1.366	0	0	0	0.08	0.0	0.0	0.0	0.0	1.366	20.129	237.0	252.0	0.046	0.085	-0.0099	0.0063	0.0034	0.0002	0.0033	0.0052
2014-06-12_22:45:22_366053	16688889.0	0.0	0.0	0.0	3.143	-7.755	1.762	0.543	-1.28	-0.65	0.0	-90.0	-54.785	54.785	1000.0	-7.755	0.025	0.0	0.0	1.38	1.38	0	0	0	0.08	0.0	0.0	0.0	0.0	1.38	20.07	237.0	252.0	0.046	0.085	-0.0101	0.0063	0.0035	0.0002	0.0034	0.0053
2014-06-12_22:45:22_386363	16709134.0	0.0	0.0	0.0	-2.338	-5.412	1.335	0.481	-0.561	-0.592	0.0	-90.0	-55.383	55.383	1000.0	-5.412	0.025	0.0	0.0	1.395	1.395	0	0	0	0.08	0.0	0.0	0.0	0.0	1.395	20.183	237.0	252.0	0.046	0.085	-0.01	0.0063	0.0035	0.0002	0.0034	0.0052
2014-06-12_22:45:22_406840	16729608.0	0.0	0.0	0.0	2.494	8.413	-0.818	0.4	0.521	-0.892	0.0	-90.0	-56.241	56.241	1000.0	8.413	0.025	0.0	0.0	1.416	1.416	0	0	0	0.08	0.0	0.0	0.0	0.0	1.416	20.075	237.0	252.0	0.046	0.085	-0.0103	0.0063	0.0035	0.0002	0.0035	0.0054
2014-06-12_22:45:22_427163	16749936.0	0.0	0.0	0.0	-8.376	-1.992	1.778	0.483	1.267	-1.125	0.0	-90.0	-56.876	56.876	1000.0	-1.992	0.025	0.0	0.0	1.432	1.432	0	0	0	0.08	0.0	0.0	0.0	0.0	1.432	20.334	237.0	252.0	0.046	0.085	-0.01	0.0064	0.0035	0.0002	0.0034	0.0053
2014-06-12_22:45:22_447668	16770431.0	0.0	0.0	0.0	-0.59	0.901	-0.635	0.573	1.327	-1.075	0.0	-90.0	-57.556	57.556	1000.0	0.901	0.025	0.0	0.0	1.449	1.449	0	0	0	0.08	0.0	0.0	0.0	0.0	1.449	20.209	237.0	252.0	0.046	0.086	-0.0102	0.0063	0.0036	0.0002	0.0034	0.0054
2014-06-12_22:45:22_467782	16790550.0	0.0	0.0	0.0	4.158	-2.412	-1.749	0.605	0.459	-0.73	0.0	-90.0	-58.158	58.158	1000.0	-2.412	0.025	0.0	0.0	1.464	1.464	0	0	0	0.08	0.0	0.0	0.0	0.0	1.464	20.158	237.0	252.0	0.045	0.086	-0.01	0.0062	0.0036	0.0002	0.0034	0.0052
2014-06-12_22:45:22_488482	16811249.0	0.0	0.0	0.0	3.402	3.779	1.037	0.515	-0.564	-1.308	0.0	-90.0	-58.87	58.87	1000.0	3.779	0.025	0.0	0.0	1.482	1.482	0	0	0	0.08	0.0	0.0	0.0	0.0	1.482	20.31	237.0	252.0	0.045	0.086	-0.0104	0.0063	0.0037	0.0002	0.0035	0.0053
2014-06-12_22:45:22_508792	16831607.0	0.0	0.0	0.0	-2.216	-8.412	5.144	0.49	-1.283	-0.763	0.0	-90.0	-59.325	59.325	1000.0	-8.412	0.025	0.0	0.0	1.493	1.493	0	0	0	0.08	0.0	0.0	0.0	0.0	1.493	20.386	237.0	252.0	0.045	0.086	-0.0102	0.0064	0.0035	0.0002	0.0033	0.0053
2014-06-12_22:45:22_529445	16852241.0	0.0	0.0	0.0	2.593	-5.099	1.228	0.265	-1.046	-0.617	0.0	-90.0	-59.838	59.838	1000.0	-5.099	0.025	0.0	0.0	1.506	1.506	0	0	0	0.08	0.0	0.0	0.0	0.0	1.506	20.104	237.0	252.0	0.045	0.086	-0.0103	0.0063	0.0035	0.0002	0.0035	0.0054
2014-06-12_22:45:22_549622	16872389.0	0.0	0.0	0.0	-1.704	5.703	1.457	0.493	-0.273	-1.318	0.0	-90.0	-60.554	60.554	1000.0	5.703	0.025	0.0	0.0	1.524	1.524	0	0	0	0.08	0.0	0.0	0.0	0.0	1.524	20.164	237.0	252.0	0.045	0.087	-0.0099	0.0063	0.0032	0.0002	0.0033	0.0055
2014-06-12_22:45:22_570037	16892802.0	0.0	0.0	0.0	-2.674	-5.908	2.297	0.471	0.754	-1.112	0.0	-90.0	-61.026	61.026	1000.0	-5.908	0.025	0.0	0.0	1.536	1.536	0	0	0	0.08	0.0	0.0	0.0	0.0	1.536	20.229	236.0	252.0	0.045	0.087	-0.0102	0.0064	0.0035	0.0002	0.0034	0.0054
2014-06-12_22:45:22_590400	16913163.0	0.0	0.0	0.0	-4.972	-5.717	-1.711	0.394	1.023	-0.431	0.0	-90.01	-61.492	61.492	1000.0	-5.717	0.025	0.0	0.0	1.547	1.547	0	0	0	0.08	0.0	0.0	0.0	0.0	1.547	20.257	236.0	252.0	0.045	0.087	-0.0101	0.0064	0.0034	0.0002	0.0034	0.0054
2014-06-12_22:45:22_610567	16933330.0	0.0	0.0	0.0	0.708	7.894	-4.688	0.439	0.295	-0.973	0.0	-90.0	-62.216	62.216	1000.0	7.894	0.025	0.0	0.0	1.565	1.565	0	0	0	0.08	0.0	0.0	0.0	0.0	1.565	19.95	236.0	253.0	0.044	0.087	-0.01	0.0064	0.0032	0.0002	0.0036	0.0053
2014-06-12_22:45:22_631203	16954004.0	0.0	0.0	0.0	-2.949	2.611	-2.222	0.42	-0.588	-1.257	0.0	-90.0	-62.824	62.824	1000.0	2.611	0.025	0.0	0.0	1.581	1.581	0	0	0	0.08	0.0	0.0	0.0	0.0	1.581	20.346	236.0	253.0	0.044	0.087	-0.0104	0.0064	0.0036	0.0002	0.0034	0.0056
2014-06-12_22:45:22_651420	16974181.0	0.0	0.0	0.0	-0.59	1.955	-1.039	0.488	1.351	-1.072	0.0	-90.0	-63.406	63.406	1000.0	1.955	0.025	0.0	0.0	1.595	1.595	0	0	0	0.08	0.0	0.0	0.0	0.0	1.595	20.252	236.0	253.0	0.044	0.087	-0.0099	0.0063	0.0034	0.0002	0.0035	0.0053
2014-06-12_22:45:22_671536	16994302.0	0.0	0.0	0.0	-0.628	-5.74	0.946	0.408	0.541	-0.689	0.0	-90.0	-63.826	63.826	1000.0	-5.74	0.025	0.0	0.0	1.606	1.606	0	0	0	0.08	0.0	0.0	0.0	0.0	1.606	20.009	236.0	253.0	0.044	0.087	-0.0099	0.0063	0.0034	0.0002	0.0034	0.0053
2014-06-12_22:45:22_691717	17014482.0	0.0	0.0	0.0	2.021	6.031	2.862	0.49	-0.571	-0.631	0.0	-90.0	-64.468	64.468	1000.0	6.031	0.025	0.0	0.0	1.622	1.622	0	0	0	0.08	0.0	0.0	0.0	0.0	1.622	20.103	236.0	253.0	0.044	0.088	-0.0099	0.0064	0.0034	0.0002	0.0035	0.0052
2014-06-12_22:45:22_712066	17034871.0	0.0	0.0	0.0	0.494	8.947	3.358	0.621	-1.488	-0.954	0.0	-90.0	-65.155	65.155	1000.0	8.947	0.025	0.0	0.0	1.639	1.639	0	0	0	0.08	0.0	0.0	0.0	0.0	1.639	20.101	236.0	253.0	0.044	0.088	-0.0101	0.0063	0.0035	0.0002	0.0034	0.0053
2014-06-12_22:45:22_732288	17055051.0	0.0	0.0	0.0	2.914	-8.091	2.419	0.574	-1.363	-0.649	0.0	-90.01	-65.493	65.493	1000.0	-8.091	0.025	0.0	0.0	1.647	1.647	0	0	0	0.08	0.0	0.0	0.0	0.0	1.647	20.088	236.0	253.0	0.044	0.088	-0.0101	0.0064	0.0034	0.0002	0.0035	0.0052
2014-06-12_22:45:22_752422	17075186.0	0.0	0.0	0.0	1.525	-2.763	-0.268	0.114	-0.438	-0.751	0.0	-90.0	-65.929	65.929	1000.0	-2.763	0.025	0.0	0.0	1.658	1.658	0	0	0	0.08	0.0	0.0	0.0	0.0	1.658	20.083	236.0	253.0	0.043	0.088	-0.0098	0.0063	0.0035	0.0002	0.0033	0.0052
2014-06-12_22:45:22_772474	17095237.0	0.0	0.0	0.0	-0.651	8.756	-0.948	0.486	0.899	-1.328	0.0	-90.0	-66.58	66.58	1000.0	8.756	0.025	0.0	0.0	1.674	1.674	0	0	0	0.08	0.0	0.0	0.0	0.0	1.674	19.752	236.0	253.0	0.043	0.088	-0.0099	0.0063	0.0033	0.0002	0.0036	0.0051
2014-06-12_22:45:22_792919	17115685.0	0.0	0.0	0.0	-7.224	-4.366	0.93	0.57	1.583	-1.31	0.0	-90.0	-66.961	66.961	1000.0	-4.366	0.025	0.0	0.0	1.684	1.684	0	0	0	0.08	0.0	0.0	0.0	0.0	1.684	20.267	236.0	253.0	0.043	0.088	-0.0101	0.0064	0.0035	0.0002	0.0034	0.0053
2014-06-12_22:45:22_813138	17135944.0	0.0	0.0	0.0	-4.277	-7.312	-0.421	0.607	1.089	-0.827	0.0	-90.0	-67.279	67.279	1000.0	-7.312	0.025	0.0	0.0	1.692	1.692	0	0	0	0.08	0.0	0.0	0.0	0.0	1.692	19.99	236.0	253.0	0.043	0.088	-0.01	0.0063	0.0034	0.0002	0.0035	0.0052
2014-06-12_22:45:22_833262	17156057.0	0.0	0.0	0.0	6.212	6.985	-1.039	0.62	-0.193	-0.924	0.0	-90.0	-67.871	67.871	1000.0	6.985	0.025	0.0	0.0	1.707	1.707	0	0	0	0.08	0.0	0.0	0.0	0.0	1.707	20.055	236.0	253.0	0.043	0.089	-0.0099	0.0063	0.0033	0.0002	0.0034	0.0053
2014-06-12_22:45:22_853615	17176379.0	0.0	0.0	0.0	0.25	-1.854	0.602	0.618	-1.32	-1.042	0.0	-90.0	-68.277	68.277	1000.0	-1.854	0.025	0.0	0.0	1.717	1.717	0	0	0	0.08	0.0	0.0	0.0	0.0	1.717	20.082	236.0	253.0	0.043	0.089	-0.0101	0.0063	0.0035	0.0002	0.0035	0.0053
2014-06-12_22:45:22_873812	17196577.0	0.0	0.0	0.0	2.532	-9.503	2.678	0.29	-1.41	-0.49	0.0	-90.0	-68.524	68.524	1000.0	-9.503	0.025	0.0	0.0	1.723	1.723	0	0	0	0.08	0.0	0.0	0.0	0.0	1.723	20.159	236.0	253.0	0.043	0.089	-0.01	0.0064	0.0034	0.0002	0.0034	0.0053
2014-06-12_22:45:22_893936	17216703.0	0.0	0.0	0.0	0.364	-2.259	0.251	0.233	-0.621	-0.768	0.0	-90.0	-68.91	68.91	1000.0	-2.259	0.025	0.0	0.0	1.733	1.733	0	0	0	0.08	0.0	0.0	0.0	0.0	1.733	19.641	236.0	253.0	0.043	0.089	-0.0099	0.0063	0.0031	0.0002	0.0035	0.0055
2014-06-12_22:45:22_914061	17236860.0	0.0	0.0	0.0	1.189	11.367	-1.253	0.246	0.456	-0.766	0.0	-90.0	-69.557	69.557	1000.0	11.367	0.025	0.0	0.0	1.749	1.749	0	0	0	0.08	0.0	0.0	0.0	0.0	1.749	20.24	236.0	253.0	0.043	0.089	-0.0099	0.0064	0.0033	0.0002	0.0034	0.0053
2014-06-12_22:45:22_934378	17257183.0	0.0	0.0	0.0	-4.758	-5.854	-2.108	0.376	1.149	-1.228	0.0	-90.0	-69.85	69.85	1000.0	-5.854	0.025	0.0	0.0	1.756	1.756	0	0	0	0.08	0.0	0.0	0.0	0.0	1.756	20.144	236.0	253.0	0.042	0.089	-0.0101	0.0064	0.0035	0.0002	0.0035	0.0052
2014-06-12_22:45:22_954474	17277238.0	0.0	0.0	0.0	3.082	-8.038	-2.245	0.534	0.828	-0.589	0.0	-90.01	-70.095	70.095	1000.0	-8.038	0.025	0.0	0.0	1.762	1.762	0	0	0	0.08	0.0	0.0	0.0	0.0	1.762	20.073	236.0	253.0	0.042	0.089	-0.0098	0.0062	0.0035	0.0002	0.0034	0.0052
2014-06-12_22:45:22_974622	17297390.0	0.0	0.0	0.0	-0.475	0.054	1.625	0.536	0.105	-0.795	0.0	-90.0	-70.495	70.495	1000.0	0.054	0.025	0.0	0.0	1.772	1.772	0	0	0	0.08	0.0	0.0	0.0	0.0	1.772	19.803	236.0	253.0	0.042	0.089	-0.0099	0.0064	0.0033	0.0002	0.0035	0.0053
2014-06-12_22:45:22_994621	17317385.0	0.0	0.0	0.0	3.158	1.71	1.167	0.551	-0.897	-0.817	0.0	-90.0	-70.918	70.918	1000.0	1.71	0.025	0.0	0.0	1.783	1.783	0	0	0	0.08	0.0	0.0	0.0	0.0	1.783	20.033	236.0	254.0	0.042	0.09	-0.0098	0.0064	0.0033	0.0002	0.0034	0.0052
2014-06-12_22:45:23_014812	17337575.0	0.0	0.0	0.0	1.067	-6.282	1.732	0.451	-1.333	-0.714	0.0	-90.0	-71.179	71.179	1000.0	-6.282	0.025	0.0	0.0	1.789	1.789	0	0	0	0.08	0.0	0.0	0.0	0.0	1.789	19.749	236.0	254.0	0.042	0.09	-0.0099	0.0062	0.0033	0.0002	0.0034	0.0054
2014-06-12_22:45:23_035174	17357937.0	0.0	0.0	0.0	0.845	0.268	1.64	0.362	-0.813	-0.511	0.0	-90.0	-71.56	71.56	1000.0	0.268	0.025	0.0	0.0	1.799	1.799	0	0	0	0.08	0.0	0.0	0.0	0.0	1.799	20.219	235.0	254.0	0.042	0.09	-0.0102	0.0062	0.0035	0.0004	0.0035	0.0051
2014-06-12_22:45:23_055824	17378593.0	0.0	0.0	0.0	-2.025	12.596	0.175	0.339	0.23	-1.144	0.0	-90.0	-72.18	72.18	1000.0	12.596	0.025	0.0	0.0	1.815	1.815	0	0	0	0.08	0.0	0.0	0.0	0.0	1.815	20.333	235.0	254.0	0.042	0.09	-0.0104	0.0063	0.0037	0.0002	0.0035	0.0053
2014-06-12_22:45:23_076084	17398939.0	0.0	0.0	0.0	-1.475	-7.175	-2.169	0.298	1.05	-0.832	0.0	-90.0	-72.395	72.395	1000.0	-7.175	0.025	0.0	0.0	1.82	1.82	0	0	0	0.08	0.0	0.0	0.0	0.0	1.82	20.169	235.0	254.0	0.042	0.09	-0.0101	0.0064	0.0034	0.0002	0.0034	0.0052
2014-06-12_22:45:23_096723	17419492.0	0.0	0.0	0.0	0.815	-5.824	-2.535	0.43	0.98	-0.334	0.0	-90.01	-72.632	72.632	1000.0	-5.824	0.025	0.0	0.0	1.826	1.826	0	0	0	0.08	0.0	0.0	0.0	0.0	1.826	20.207	235.0	254.0	0.042	0.09	-0.0102	0.0063	0.0035	0.0002	0.0035	0.0054
2014-06-12_22:45:23_116995	17439836.0	0.0	0.0	0.0	0.715	9.329	-1.245	0.462	0.264	-1.062	0.0	-90.0	-73.165	73.165	1000.0	9.329	0.025	0.0	0.0	1.839	1.839	0	0	0	0.08	0.0	0.0	0.0	0.0	1.839	20.338	235.0	254.0	0.042	0.09	-0.0101	0.0063	0.0035	0.0002	0.0034	0.0053
2014-06-12_22:45:23_137585	17460351.0	0.0	0.0	0.0	-4.872	9.245	3.541	0.743	0.941	-0.77	0.0	-90.01	-73.686	73.686	1000.0	9.245	0.025	0.0	0.0	1.852	1.852	0	0	0	0.08	0.0	0.0	0.0	0.0	1.852	20.302	235.0	254.0	0.041	0.09	-0.0103	0.0063	0.0037	0.0002	0.0035	0.0054
2014-06-12_22:45:23_158017	17480782.0	0.0	0.0	0.0	-3.078	-8.259	4.648	0.508	0.912	-0.753	0.0	-90.0	-73.849	73.849	1000.0	-8.259	0.025	0.0	0.0	1.856	1.856	0	0	0	0.08	0.0	0.0	0.0	0.0	1.856	20.172	235.0	254.0	0.041	0.09	-0.0102	0.0062	0.0035	0.0002	0.0034	0.0055
2014-06-12_22:45:23_178263	17501027.0	0.0	0.0	0.0	5.708	4.077	1.953	0.362	-0.106	-0.723	0.0	-90.0	-74.252	74.252	1000.0	4.077	0.025	0.0	0.0	1.866	1.866	0	0	0	0.08	0.0	0.0	0.0	0.0	1.866	20.053	235.0	254.0	0.041	0.09	-0.01	0.0063	0.0032	0.0002	0.0035	0.0054
2014-06-12_22:45:23_198677	17521443.0	0.0	0.0	0.0	6.067	3.833	0.823	0.407	-0.895	-1.383	0.0	-90.0	-74.644	74.644	1000.0	3.833	0.025	0.0	0.0	1.876	1.876	0	0	0	0.08	0.0	0.0	0.0	0.0	1.876	20.355	235.0	254.0	0.041	0.091	-0.0102	0.0063	0.0035	0.0002	0.0034	0.0055
2014-06-12_22:45:23_218901	17541663.0	0.0	0.0	0.0	2.99	-7.801	-3.444	0.36	-0.969	-0.983	0.0	-90.0	-74.797	74.797	1000.0	-7.801	0.025	0.0	0.0	1.88	1.88	0	0	0	0.08	0.0	0.0	0.0	0.0	1.88	20.121	235.0	254.0	0.041	0.091	-0.01	0.0063	0.0034	0.0002	0.0035	0.0053
2014-06-12_22:45:23_239101	17561866.0	0.0	0.0	0.0	0.731	-2.366	-2.054	0.514	-0.345	-1.119	0.0	-90.0	-75.055	75.055	1000.0	-2.366	0.025	0.0	0.0	1.886	1.886	0	0	0	0.08	0.0	0.0	0.0	0.0	1.886	20.005	235.0	254.0	0.041	0.091	-0.01	0.0064	0.0033	0.0002	0.0034	0.0054
2014-06-12_22:45:23_259764	17582530.0	0.0	0.0	0.0	-9.025	4.535	0.091	0.623	0.618	-0.906	0.0	-90.0	-75.443	75.443	1000.0	4.535	0.025	0.0	0.0	1.896	1.896	0	0	0	0.08	0.0	0.0	0.0	0.0	1.896	20.095	235.0	254.0	0.041	0.091	-0.0104	0.0064	0.0034	0.0002	0.0038	0.0054
