datetime	reltime	adxlx	adxly	adxlz	gyrox	gyroy	gyroz	mpu_accelx	mpu_accely	mpu_accelz	distance	atan	angle	error	integral	derivative	Kp	Ki	Kd	pid_output	target_angleRate2	error2	integral2	derivative2	Kp2	Ki2	Kd2	pid_output2	pitch_offset_force	pitch_offset	dt	m1_pos	m2_pos	m1_percent	m2_percent	sleep_time	sensor_time	getch_time	pid_time	motors_time	curses_time
2014-06-12_22:45:07_023838	1346598.0	0.0	0.0	0.0	-2.094	-1.694	3.984	0.196	0.095	-1.034	0.0	-90.0	-21.575	21.575	1000.0	-1.694	0.08	0.0	0.0	1.736	1.736	0	0	0	0.08	0.0	0.0	0.0	0.0	1.736	20.166	236.0	253.0	0.043	0.089	-0.01	0.0064	0.0034	0.0002	0.0034	0.0053
2014-06-12_22:45:07_044093	1366864.0	0.0	0.0	0.0	0.395	1.436	1.694	0.204	-0.031	-0.927	0.0	-90.0	-22.972	22.972	1000.0	1.436	0.08	0.0	0.0	1.848	1.848	0	0	0	0.08	0.0	0.0	0.0	0.0	1.848	19.953	235.0	254.0	0.042	0.09	-0.01	0.0063	0.0034	0.0002	0.0035	0.0054
2014-06-12_22:45:07_064509	1387273.0	0.0	0.0	0.0	-0.453	0.405	2.106	0.246	-0.106	-0.902	0.0	-90.0	-24.321	24.321	1000.0	0.405	0.08	0.0	0.0	1.956	1.956	0	0	0	0.08	0.0	0.0	0.0	0.0	1.956	20.223	235.0	254.0	0.04	0.091	-0.0102	0.0063	0.0035	0.0002	0.0035	0.0054
2014-06-12_22:45:07_084713	1407512.0	0.0	0.0	0.0	0.631	0.596	1.694	0.249	-0.189	-0.946	0.0	-90.0	-25.646	25.646	1000.0	0.596	0.08	0.0	0.0	2.062	2.062	0	0	0	0.08	0.0	0.0	0.0	0.0	2.062	20.113	234.0	255.0	0.039	0.093	-0.01	0.0064	0.0033	0.0002	0.0034	0.0054
2014-06-12_22:45:07_104976	1427746.0	0.0	0.0	0.0	-2.162	-6.114	0.35	0.222	-0.295	-0.969	0.0	-90.0	-26.813	26.813	1000.0	-6.114	0.08	0.0	0.0	2.155	2.155	0	0	0	0.08	0.0	0.0	0.0	0.0	2.155	20.072	234.0	255.0	0.038	0.094	-0.01	0.0063	0.0033	0.0002	0.0035	0.0053
2014-06-12_22:45:07_125317	1448082.0	0.0	0.0	0.0	-0.628	-8.152	0.656	0.221	-0.404	-1.054	0.0	-90.0	-27.914	27.914	1000.0	-8.152	0.08	0.0	0.0	2.243	2.243	0	0	0	0.08	0.0	0.0	0.0	0.0	2.243	20.296	234.0	256.0	0.038	0.095	-0.0101	0.0063	0.0035	0.0002	0.0034	0.0053
2014-06-12_22:45:07_145456	1468221.0	0.0	0.0	0.0	0.586	-7.595	0.411	0.112	-0.478	-1.202	0.0	-89.99	-29.006	29.006	1000.0	-7.595	0.08	0.0	0.0	2.33	2.33	0	0	0	0.08	0.0	0.0	0.0	0.0	2.33	20.129	233.0	256.0	0.037	0.096	-0.01	0.0063	0.0035	0.0002	0.0034	0.0051
2014-06-12_22:45:07_165945	1488712.0	0.0	0.0	0.0	0.914	-8.274	-1.199	0.025	-0.465	-1.017	0.0	-89.95	-30.062	30.062	1000.0	-8.274	0.08	0.0	0.0	2.415	2.415	0	0	0	0.08	0.0	0.0	0.0	0.0	2.415	20.138	233.0	256.0	0.036	0.097	-0.0101	0.0063	0.0035	0.0002	0.0034	0.0053
2014-06-12_22:45:07_186105	1508948.0	0.0	0.0	0.0	0.708	-7.885	-1.665	-0.036	0.326	-0.835	0.0	89.97	-27.506	27.506	1000.0	-7.885	0.08	0.0	0.0	2.21	2.21	0	0	0	0.08	0.0	0.0	0.0	0.0	2.21	20.115	234.0	255.0	0.038	0.094	-0.0099	0.0064	0.0034	0.0002	0.0035	0.0051
2014-06-12_22:45:07_206756	1529559.0	0.0	0.0	0.0	0.334	-5.984	-2.589	-0.076	0.367	-1.008	0.0	89.99	-25.037	25.037	1000.0	-5.984	0.08	0.0	0.0	2.013	2.013	0	0	0	0.08	0.0	0.0	0.0	0.0	2.013	20.227	235.0	255.0	0.04	0.092	-0.0103	0.0063	0.0036	0.0002	0.0035	0.0053
