datetime	x	y	z	d	speed	speed_real
2013-12-28_12:42:40_542099	71.0	101.0	-46.0	15.77	8.2	251
2013-12-28_12:42:40_552472	151.0	139.0	-271.0	22.02	8.3	251
2013-12-28_12:42:40_562794	64.0	237.0	-273.0	21.67	8.4	251
2013-12-28_12:42:40_573319	-1.0	104.0	-25.0	23.85	8.5	252
2013-12-28_12:42:40_583667	149.0	125.0	-235.0	22.51	8.6	252
2013-12-28_12:42:40_593574	95.0	246.0	-293.0	15.3	8.7	253
2013-12-28_12:42:40_603879	43.0	82.0	9.0	22.17	8.8	253
2013-12-28_12:42:40_613818	17.0	118.0	-244.0	15.34	8.9	253
2013-12-28_12:42:40_623715	159.0	169.0	-469.0	14.76	9.0	254
2013-12-28_12:42:40_633659	-49.0	108.0	23.0	15.54	9.1	254
2013-12-28_12:42:40_643560	-20.0	145.0	20.0	15.4	9.2	254
2013-12-28_12:42:40_653897	47.0	53.0	-146.0	21.88	9.3	255
2013-12-28_12:42:40_663766	58.0	179.0	-383.0	14.76	9.4	255
2013-12-28_12:42:40_674144	-27.0	253.0	-154.0	22.3	9.5	256
2013-12-28_12:42:40_684227	61.0	113.0	-48.0	14.76	9.6	256
2013-12-28_12:42:40_694244	214.0	188.0	-420.0	16.01	9.7	256
2013-12-28_12:42:40_704141	114.0	207.0	-395.0	14.26	9.8	257
2013-12-28_12:42:40_714526	-41.0	121.0	54.0	22.61	9.9	257
2013-12-28_12:42:40_724491	-87.0	50.0	-117.0	14.66	10.0	257
2013-12-28_12:42:40_734393	160.0	258.0	-437.0	14.69	10.1	258
2013-12-28_12:42:40_744323	-17.0	247.0	-314.0	15.18	10.2	258
2013-12-28_12:42:40_754233	14.0	111.0	61.0	15.28	10.3	259
2013-12-28_12:42:40_764333	163.0	123.0	-214.0	14.33	10.4	259
2013-12-28_12:42:40_774261	315.0	309.0	-512.0	13.5	10.5	259
2013-12-28_12:42:40_784799	199.0	253.0	-512.0	25.5	10.6	260
2013-12-28_12:42:40_794709	365.0	186.0	-452.0	14.82	10.7	260
2013-12-28_12:42:40_804606	-199.0	98.0	138.0	14.77	10.8	261
2013-12-28_12:42:40_814537	-377.0	46.0	-22.0	15.59	10.9	261
2013-12-28_12:42:40_824416	-7.0	146.0	-512.0	15.47	11.0	261
2013-12-28_12:42:40_834400	506.0	221.0	-500.0	14.81	11.1	262
2013-12-28_12:42:40_844821	-72.0	168.0	101.0	22.39	11.2	262
2013-12-28_12:42:40_854775	95.0	107.0	-47.0	15.22	11.3	262
2013-12-28_12:42:40_864577	-161.0	107.0	-298.0	13.23	11.4	263
2013-12-28_12:42:40_874361	221.0	275.0	-507.0	12.97	11.5	263
